match,player,translated_message,label
6,8,"this team used everything on sven illusion. ""...""",0
7,0,":))))). UR DEFENDING :))). "":("". :))))))))))))))))))))))). ""GG HARD:)))))""",0
7,1,пытайся усерднее. =)))))))))),0
7,3,:))) too fun,0
7,5,"""thanks for the pull"". ""like"". commend me. =))))))",0
8,0,"He doesn't know.. ""viper 4-7 ;D""",0
8,1,wow. I don't know how we won this.,0
8,2,Thank you.. no idea either. such shitty 'support',1
8,5,Gg. 0-20. gg,0
8,9,"""this pugna"". is a fucking troll. ""in ranked"". ""such no-lifer"". Fuck you, Pugna.. ""report all pugna please"". ""hope 1 month ban"". pugna is retarded. forfeit please. ""see Pugna items""",1
9,2,"""dead taco"". lol. so much bash",0
9,3,"ez Peru. ""shhh Peru shhhhh burrito"". M E X I C O. easy. ""Peru East"". ""good English!"". ""also good English"". easy. oh now you want to wait. ""fucking peruvians"". ez burrito. ""boy churro the chaop"". ""chapo"". easy, man",1
9,4,i thought this was us east. :/. yes. we can't damage each other. ?. critcritcritcrit. zzzz. gg. 54 minutes EZ. right. ez. rip,0
9,5,"""fucking lag"". haha. ""haha he left"". ""he's gone already"". ""they were let down"". hi. lol. haha. haha. Thank you. haha. ""easy win"". ""report him""",0
9,6,"""WAS THERE A SLARK XD?"". LMAO",0
9,7,"""easy Pudge and Sniper"". ""Can't you solo, dude?"". ""hahaha what happened pudge?"". ""What happened, Pudge?"". ""Did I kill you?"". ""you're afraid of me, dude"". ""'?"". ""why are you running away?"". easy Pudge. ez hook. ""hahaha easy mid"". ""hahaha sniper"". ""why do you pull me and then leave?"". ""easy mid and pudge""",0
9,9,"""Choose quickly, damn it, my time is running out :v"". gg. ""fall and call"". ""you chickened out, dude"". xd. "":'c"". ¿Me quieres, hermano?. ""wait because of"". xd. ""to hell"". gg. ""fuck I'm hungry"". ""kirkincho is op"". ""my time, f***ing s***"". ""Pay me, shit""",1
10,0,who are you,0
10,1,"""handsome handsome wolf?"". ggs?. L U L. What the fuck. Easy. EZ",0
10,2,"""fuck this bh"". kill me. rubick god",0
10,3,"""Why"". ""Fuck"". Good. wahahaha. ""loser"". ""Don't you have one now?"". HAHAHA MUTED. ""your mom, idiot?"". ""tsk tsk tsk"". ""My teammate muted me"". ""friend, it turns out"". Xd. ""LOL"". ""Let's play PUBG"". ""Sorry"". WHA?TY. ""yahayag life choyloy ah"". Im so confused. Ask what. HAHAHAHAHAHA. ""yuri"". ""Who is missing?"". ""On the way, apparently"". hey. ""Who is stupid"". ""Stupid"". ""it's not going"". ""Who replaced?"". go. dota 2. ""Oh no, idiot"". ""You are being blamed"". Dot. Dota 2. What. ROFL. ROFL. BOT. good games. What the fuck. ""Second time feeding"". fog. ""Okay"". ""we're dead now"". HAHAHAHA. ""Wew?"". gg. teams so good. god damn!. Lol. ""miss you chulupi"". ""I'm going to Manila"". next week. XD. ""what is my team"". DOing. honestly. ""what bracket"". ""Is this"". Holy shit. ?. you suck. balls. dumb fuck. Find me 24/7. suck my dick. if you can. XD. ""cry more"". MAN. I WANNA PLAY. PUBG. STOP TRYING. ""You fucking morons"". ""you're all dumb"". except. brown. Thank you. ""?"". LUL",1
10,6,"""my tb always dying"". L O L. ""stupid Dota"". TN legit. ""Terrorblade"". legit. Player. ""Fuck you, just die.""",0
10,7,"OMG. ""dogbrain is back"". the tiny. Hahahahahaha. ""I saw that Death Prophet, I laughed so hard"". ""dogbrain is back"". why change name?. Wait.. ""Qweqwe"". Qwe. GAME OF IDIOTS",1
10,8,"prince. ""you are so stupid"". ""CDD"". ""It's very easy to get on the ship."". ""Just told them there's an allowance"". ""he/she is going there"". ""don't know yet"". yes. ""get out, I'm tired of this"". ""nothing"". 4 man. end. LEL. ""yes"". ""you ask for help"". prince. ""mine"". ""nothing"". MMR. ""NAORT"". ""Idiot"". ""IDIOT"". DOnt know. ""Tell them"". ""JETH"". ""This was given by Jobb"". ""this game"". o. ""none yet"". 322. MMR. timber. help us. Thank you. What the fuck. ""alien"". ""alien?"". BYE. DOGS. OH FUCK. 700. ""big"". ""throw ah"". GG. HO FUCK. GG. ""Terrorblade has no Black King Bar"". END. ""Terrorblade"". GOD. GO. ""I am sad"". TB GOD. ""carry you?"". ""carry you?"". LOL. idiot. hahaha. The message """" is a non-standard character or icon and does not have a direct translation to English.. I don't give a fuck?. END. NOW. ""FAST"". FUCKING. dota 3. Dota 5. dota 4. DOGS. TB. ""next loser"". Buy Black King Bar. Easy mid. By the way. ""Easy mid""",0
10,9,"""Who are you talking to?"". ""ha?"" translates to ""what?"" in English.. ""Who are you talking to, hey?"". ""we are friends"". ""crazy guys"". ""f*ck off"". ""0-3 idiot"". ""Stupid, run"". rofl. i love dota3. ""Let's go, idiot"". hahaha. ""Hehe"". ""Stuuuuupid"". ""I'll give you a bonus game"". ""tsk tsk"". gg idiot. nice. ""Let's just meet at TI"". :D. gg. xd",0
11,2,"haha. haha. haha. ""BAD SKILL"". HAHA. HAHA. wtf. HAHA. PLAG. wtf. end",0
11,3,"hahahahaha. ""called""",0
11,5,lol,0
11,9,win. easy. easy. D,0
12,0,GG,0
12,2,easy,0
12,6,gg,0
12,9,"We lost.. end mid. we have no carry. ""you won"". LV 15 HARD CARRY. SO HARD TO BE HERE. CAN YOU HELP REPORT LUNA PLEASE?. disgusting and no skill. please. ""1 commend"". ""what"". I need your commend.. ""already"". i know",0
13,0,think,0
13,3,"?. ""don't pause for nothing"". ""}wtf"". What the fuck. ""woiwowowo"". ""gonna push more?"". end. ""can you people push"". ""i have to go to another game"". ""I won't defend"". wow",0
13,4,lol. lol storm,0
13,5,"""tactical pause""",0
13,6,gg,0
13,7,":O. commend me. Easy mid. ""Easy mid"". EZ MID. EZ MID",0
13,8,"""discussing"". kill. sorry. Lol. ""your pause"". ""you don't defend"". ""talk nonsense"". Good game, well played.. COMMend us. easy game. ==. super easy",0
13,9,"""What the fuck, mid come back"". Haha. ""x3 gem"". haha",0
14,0,"""slap on the pussy with a palm privileges in Minecraft on the mozyaki server""",0
