message,label,player,special_token_message,match,translated_message,sanitized_translated_message
end,,3,[Team0][Player3]: end,13,end,end
can u ppl push,,3,[Team0][Player3]: can u ppl push,13,"""can you people push""",can you people push
u dont def,,8,[Team1][Player3]: u dont def,13,"""you don't defend""",you don't defend
i have to go to another game,,3,[Team0][Player3]: i have to go to another game,13,"""i have to go to another game""",i have to go to another game
talk cock,,8,[Team1][Player3]: talk cock,13,"""talk nonsense""",talk nonsense
i wont def,,3,[Team0][Player3]: i wont def,13,"""I won't defend""",I won't defend
GGWP,,8,[Team1][Player3]: GGWP,13,"Good game, well played.","Good game, well played."
commend me,,7,[Team1][Player2]: commend me,13,commend me,commend me
COMMend us,,8,[Team1][Player3]: COMMend us,13,COMMend us,COMMend us
lol storm,,4,[Team0][Player4]: lol storm,13,lol storm,lol storm
Haha,,9,[Team1][Player4]: Haha,13,Haha,Haha
wow,,3,[Team0][Player3]: wow,13,wow,wow
ez game,,8,[Team1][Player3]: ez game,13,easy game,easy game
gg,,6,[Team1][Player1]: gg,13,gg,gg
EZ MID,,7,[Team1][Player2]: EZ MID,13,Easy mid,Easy mid
==,,8,[Team1][Player3]: ==,13,==,==
EZ MID,,7,[Team1][Player2]: EZ MID,13,"""Easy mid""",Easy mid
super ez,,8,[Team1][Player3]: super ez,13,super easy,super easy
x3 gem,,9,[Team1][Player4]: x3 gem,13,"""x3 gem""",x3 gem
EZ MID,,7,[Team1][Player2]: EZ MID,13,EZ MID,EZ MID
haha,,9,[Team1][Player4]: haha,13,haha,haha
EZ MID,,7,[Team1][Player2]: EZ MID,13,EZ MID,EZ MID
lmao,,3,[Team0][Player3]: lmao,92,laughing my ass off,laughing my *** off
is he coming,,0,[Team0][Player0]: is he coming,92,is he coming,is he coming
no,,5,[Team1][Player0]: no,92,no,no
jugg chill,,0,[Team0][Player0]: jugg chill,92,"""Juggernaut, calm down.""","Juggernaut, calm down."
if he will reconnect,,9,[Team1][Player4]: if he will reconnect,92,if he will reconnect,if he will reconnect
i will report jug,,9,[Team1][Player4]: i will report jug,92,I will report Jug.,I will report Jug.
100%,,9,[Team1][Player4]: 100%,92,100%,100%
+,,6,[Team1][Player1]: +,92,"""+""",+
what's his problem,,0,[Team0][Player0]: what's his problem,92,What's his problem?,What's his problem?
he is virgian,,9,[Team1][Player4]: he is virgian,92,"""he is a virgin""",he is a *****
wtf,,3,[Team0][Player3]: wtf,92,What the fuck,What the ****
XD,,3,[Team0][Player3]: XD,92,XD,XD
I will report every void pickers,,2,[Team0][Player2]: I will report every void pickers,92,"""I will report every void picker""",I will report every void picker
ha,,3,[Team0][Player3]: ha,92,ha,ha
from now on,,2,[Team0][Player2]: from now on,92,"""from now on""",from now on
xD,,6,[Team1][Player1]: xD,92,xD,xD
omg this game,,3,[Team0][Player3]: omg this game,92,"""omg this game""",omg this game
XD,,3,[Team0][Player3]: XD,92,XD,XD
;DDDD,,3,[Team0][Player3]: ;DDDD,92,;DDDD,;DDDD
ck is high I am sure,,0,[Team0][Player0]: ck is high I am sure,92,"""Chaos Knight is high I am sure""",Chaos Knight is high I am sure
wHATS HAPPEINN,,3,[Team0][Player3]: wHATS HAPPEINN,92,"""What's happening""",What's happening
fucking trash void players always ruin my game,,2,[Team0][Player2]: fucking trash void players always ruin my game,92,fucking trash void players always ruin my game,f***ing trash void players always ruin my game
can't chrono,,2,[Team0][Player2]: can't chrono,92,can't use Chronosphere,can't use Chronosphere
NOT ALL VOID PLAYERS,,3,[Team0][Player3]: NOT ALL VOID PLAYERS,92,NOT ALL VOID PLAYERS,NOT ALL VOID PLAYERS
XD,,3,[Team0][Player3]: XD,92,XD,XD
fu void report void ty,,0,[Team0][Player0]: fu void report void ty,92,"""fuck void report void thank you""",f*** void report void thank you
HAH,,3,[Team0][Player3]: HAH,92,HAH,HAH
K2,,3,[Team0][Player3]: K2,92,"""K2""",K2
rofl,,9,[Team1][Player4]: rofl,92,rofl,rofl
x),,6,[Team1][Player1]: x),92,x),x)
pretty sure jugg is virgin btw,,0,[Team0][Player0]: pretty sure jugg is virgin btw,92,The message is already in English.,The message is already in English.
premuted SD xD,,2,[Team0][Player2]: premuted SD xD,92,"""pre-muted SD xD""",pre-muted SD xD
i saw yu missing that cs jugg...,,0,[Team0][Player0]: i saw yu missing that cs jugg...,92,"""i saw you missing that creep score, Jugg...""","i saw you missing that creep score, Jugg..."
come on..,,0,[Team0][Player0]: come on..,92,come on..,come on..
ooooh,,3,[Team0][Player3]: ooooh,92,ooooh,ooooh
?,,1,[Team0][Player1]: ?,92,"""?""",?
k,,2,[Team0][Player2]: k,92,k,k
вы можете зайти по миду,,6,[Team1][Player1]: вы можете зайти по миду,92,"""you can go mid""",you can go mid
и спушить?,,6,[Team1][Player1]: и спушить?,92,"""and push?""",and push?
у меня все равно кэри хуесос лесочек фармить будет,,6,[Team1][Player1]: у меня все равно кэри хуесос лесочек фармить будет,92,"""My carry is going to be a dickhead and farm the jungle anyway.""",My carry is going to be a ****head and farm the jungle anyway.
он в ранкед зашел чтобы похуй было,,6,[Team1][Player1]: он в ранкед зашел чтобы похуй было,92,"""He joined ranked to not give a fuck""","""He joined ranked to not give a ****"""
=),,6,[Team1][Player1]: =),92,=),=)
я виноват?,,5,[Team1][Player0]: я виноват?,92,"""Am I to blame?""",Am I to blame?
лол,,5,[Team1][Player0]: лол,92,lol,lol
da,,9,[Team1][Player4]: da,92,yes,yes
ti vinovat,,9,[Team1][Player4]: ti vinovat,92,"""you are to blame""",you are to blame
БИТЬ,,8,[Team1][Player3]: БИТЬ,92,"""HIT""",HIT
zachem ti begaesh,,9,[Team1][Player4]: zachem ti begaesh,92,"""why are you running""",why are you running
za mnoj,,9,[Team1][Player4]: za mnoj,92,"""after me""",after me
jivotnoe,,9,[Team1][Player4]: jivotnoe,92,"""Animal""",Animal
HA,,3,[Team0][Player3]: HA,92,HA,HA
NEXT TIME,,3,[Team0][Player3]: NEXT TIME,92,NEXT TIME,NEXT TIME
ILL GO,,3,[Team0][Player3]: ILL GO,92,"""I'LL GO""",I'LL GO
DIVINE,,3,[Team0][Player3]: DIVINE,92,DIVINE,DIVINE
go feed,,0,[Team0][Player0]: go feed,45,"""go feed""",go feed
Xd,,3,[Team0][Player3]: Xd,45,Xd,Xd
KKAS,,3,[Team0][Player3]: KKAS,45,"""SHIT""",****
why did we get paired with the 3 stack who has no idea how to play dota2,,5,[Team1][Player0]: why did we get paired with the 3 stack who has no idea how to play dota2,45,The message is already in English.,The message is already in English.
ajaj,,4,[Team0][Player4]: ajaj,45,"""haha""",haha
rofl,,5,[Team1][Player0]: rofl,45,rofl,rofl
6-26 combined between three of you,,5,[Team1][Player0]: 6-26 combined between three of you,45,"""6-26 combined between three of you""",6-26 combined between three of you
ajajaj,,4,[Team0][Player4]: ajajaj,45,hahaha,hahaha
hehehe,,9,[Team1][Player4]: hehehe,85,"""Hehehe""",Hehehe
nc xmark,,9,[Team1][Player4]: nc xmark,85,"""nice xmark""",nice xmark
jackpoit,,0,[Team0][Player0]: jackpoit,85,jackpot,jackpot
dr ?,,0,[Team0][Player0]: dr ?,85,"""where?""",where?
haha,,0,[Team0][Player0]: haha,85,haha,haha
i love you,,7,[Team1][Player2]: i love you,85,I love you.,I love you.
why you die ?,,0,[Team0][Player0]: why you die ?,85,"""why did you die?""",why did you die?
i dint see you,,0,[Team0][Player0]: i dint see you,85,I didn't see you.,I didn't see you.
love bro,,7,[Team1][Player2]: love bro,85,love bro,love bro
sad,,6,[Team1][Player1]: sad,85,sad,sad
SAD,,6,[Team1][Player1]: SAD,85,SAD,SAD
kunka lord,,4,[Team0][Player4]: kunka lord,85,Kunkka lord,Kunkka lord
gg kunka,,4,[Team0][Player4]: gg kunka,85,gg Kunkka,gg Kunkka
shut up noob carry,,6,[Team1][Player1]: shut up noob carry,85,shut up noob carry,shut up **** carry
SAD,,7,[Team1][Player2]: SAD,85,SAD,SAD
SAD HAHAHA,,7,[Team1][Player2]: SAD HAHAHA,85,SAD HAHAHA,SAD HAHAHA
SWAP COMMEND,,7,[Team1][Player2]: SWAP COMMEND,85,"""SWAP COMMEND""",SWAP COMMEND
SWAP COMMEND,,7,[Team1][Player2]: SWAP COMMEND,85,SWAP COMMEND,SWAP COMMEND
hahah,,0,[Team0][Player0]: hahah,85,hahah,hahah
sad,,9,[Team1][Player4]: sad,85,sad,sad
SWAP COMMEND,,7,[Team1][Player2]: SWAP COMMEND,85,SWAP COMMEND,SWAP COMMEND
this noob kunka,,4,[Team0][Player4]: this noob kunka,85,"""this noob Kunkka""",this noob Kunkka
dr?,,7,[Team1][Player2]: dr?,85,"""dr?""",dr?
HASHAHAHA,,7,[Team1][Player2]: HASHAHAHA,85,HASHAHAHA,HASHAHAHA
Bye,,4,[Team0][Player4]: Bye,21,Bye,Bye
wow,,4,[Team0][Player4]: wow,21,wow,wow
what bye?,,5,[Team1][Player0]: what bye?,21,"""what bye?""",what bye?
roart,,0,[Team0][Player0]: roart,21,"""cry""",cry
FACELESS VOID,,5,[Team1][Player0]: FACELESS VOID,21,FACELESS VOID,FACELESS VOID
why hate me :(,,5,[Team1][Player0]: why hate me :(,21,why hate me :(,why hate me :(
WHY?,,3,[Team0][Player3]: WHY?,21,WHY?,WHY?
why hate me,,5,[Team1][Player0]: why hate me,21,"""why hate me""",why hate me
u ENEMY NOOB,,0,[Team0][Player0]: u ENEMY NOOB,21,"""you ENEMY NOOB""",you ENEMY NOOB
HAHA,,3,[Team0][Player3]: HAHA,21,HAHA,HAHA
:(,,5,[Team1][Player0]: :(,21,:(,:(
snipshit,,5,[Team1][Player0]: snipshit,21,snipshit,snip****
WKWKW,,0,[Team0][Player0]: WKWKW,21,Hahaha,Hahaha
sad,,2,[Team0][Player2]: sad,21,sad,sad
U NOOB SHIT,x,0,[Team0][Player0]: U NOOB SHIT,21,"""YOU NOOB SHIT""",YOU NOOB ****
haha silence cant cast,,1,[Team0][Player1]: haha silence cant cast,21,"""haha silence can't cast""",haha silence can't cast
gg,,4,[Team0][Player4]: gg,21,gg,gg
EZ,,3,[Team0][Player3]: EZ,21,Easy,Easy
ok,,5,[Team1][Player0]: ok,21,ok,ok
да это просто пиздец,,2,[Team0][Player2]: да это просто пиздец,38,"""Yeah, this is just fucked up""","Yeah, this is just ****ed up"
лакеры ебучие,,2,[Team0][Player2]: лакеры ебучие,38,"""fucking luckers""",f***ing luckers
lol,,6,[Team1][Player1]: lol,38,lol,lol
v 4em lak?,,6,[Team1][Player1]: v 4em lak?,38,"""What's the luck?""",What's the luck?
ты видел как тракса съебалась из под моей ульты?,,2,[Team0][Player2]: ты видел как тракса съебалась из под моей ульты?,38,"""Did you see how Traxex fucked off from under my ult?""","""Did you see how Traxex ****ed off from under my ult?"""
net,,6,[Team1][Player1]: net,38,no,no
вот и иди на хуй,x,2,[Team0][Player2]: вот и иди на хуй,38,"""then go fuck yourself""",then go **** yourself
tak ti na hue,,6,[Team1][Player1]: tak ti na hue,38,"""That's for you to go fuck yourself.""",That's for you to go **** yourself.
za4em,,6,[Team1][Player1]: za4em,38,"""why""",why
slot zan'at,,6,[Team1][Player1]: slot zan'at,38,"""Slot is taken""",Slot is taken
pangol'er dolbaeb?,,6,[Team1][Player1]: pangol'er dolbaeb?,38,"""Is Pangolier an idiot?""",Is Pangolier an *****?
u teb'a 2 raza basher proknul?,,6,[Team1][Player1]: u teb'a 2 raza basher proknul?,38,"""Did your basher proc twice?""",Did your basher proc twice?
изи ганк,,1,[Team0][Player1]: изи ганк,38,"""easy gank""",easy gank
мид,,1,[Team0][Player1]: мид,38,"""mid""",mid
gl hf,,1,[Team0][Player1]: gl hf,91,"""Good luck, have fun""","Good luck, have fun"
w8 pls,,1,[Team0][Player1]: w8 pls,91,wait please,wait please
lol,,3,[Team0][Player3]: lol,91,lol,lol
ME FOCA AI,,6,[Team1][Player1]: ME FOCA AI,91,"""FOCUS ME THERE""",FOCUS ME THERE
SEU FULHO DA PUTA,x,6,[Team1][Player1]: SEU FULHO DA PUTA,91,"""YOU SON OF A BITCH""","""YOU SON OF A *****"""
26 assistencias,,4,[Team0][Player4]: 26 assistencias,91,"""26 assists""",26 assists
Y?,,8,[Team1][Player3]: Y?,91,Why?,Why?
Recomend,,4,[Team0][Player4]: Recomend,91,Recommend,Recommend
SSSSsss,,8,[Team1][Player3]: SSSSsss,91,"""SSSSsss""",SSSSsss
izi legion start pro,,9,[Team1][Player4]: izi legion start pro,91,"""easy legion start pro""",easy legion start pro
izi,,8,[Team1][Player3]: izi,91,easy,easy
elijan rapido mrd se acaba mi hora :v,,9,[Team1][Player4]: elijan rapido mrd se acaba mi hora :v,9,"""Choose quickly, damn it, my time is running out :v""","Choose quickly, d*** it, my time is running out :v"
gg,,9,[Team1][Player4]: gg,9,gg,gg
verga de lag,,5,[Team1][Player0]: verga de lag,9,"""fucking lag""",f***ing lag
ez pudge and sniper,,7,[Team1][Player2]: ez pudge and sniper,9,"""easy Pudge and Sniper""",easy Pudge and Sniper
ez peru,x,3,[Team0][Player3]: ez peru,9,ez Peru,ez Peru
no puedes olo chato ?,,7,[Team1][Player2]: no puedes olo chato ?,9,"""Can't you solo, dude?""","Can't you solo, dude?"
jajajaja que paso puydge ?,,7,[Team1][Player2]: jajajaja que paso puydge ?,9,"""hahaha what happened pudge?""","""hahaha what happened pudge?"""
shhh peru shhhhh burrito,x,3,[Team0][Player3]: shhh peru shhhhh burrito,9,"""shhh Peru shhhhh burrito""","""shhh Peru shhhhh burrito"""
taco muerto,,2,[Team0][Player2]: taco muerto,9,"""dead taco""",dead taco
que paso pudge ?,,7,[Team1][Player2]: que paso pudge ?,9,"""What happened, Pudge?""","What happened, Pudge?"
haha,,5,[Team1][Player0]: haha,9,haha,haha
te mate ?,,7,[Team1][Player2]: te mate ?,9,"""Did I kill you?""",Did I kill you?
M E X I C O,,3,[Team0][Player3]: M E X I C O,9,M E X I C O,M E X I C O
haha se fue,,5,[Team1][Player0]: haha se fue,9,"""haha he left""",haha he left
ez,,3,[Team0][Player3]: ez,9,easy,easy
ya se fue,,5,[Team1][Player0]: ya se fue,9,"""he's gone already""",he's gone already
le defraudaron,,5,[Team1][Player0]: le defraudaron,9,"""they were let down""",they were let down
i thought this was us east,,4,[Team0][Player4]: i thought this was us east,9,i thought this was us east,i thought this was us east
:/,,4,[Team0][Player4]: :/,9,:/,:/
lol,,2,[Team0][Player2]: lol,9,lol,lol
peru east,,3,[Team0][Player3]: peru east,9,"""Peru East""",Peru East
caia iama,,9,[Team1][Player4]: caia iama,9,"""fall and call""",fall and call
te cagaste chato,x,9,[Team1][Player4]: te cagaste chato,9,"""you chickened out, dude""","you chickened out, dude"
me tienes miedo chato,,7,[Team1][Player2]: me tienes miedo chato,9,"""you're afraid of me, dude""","you're afraid of me, dude"
'?,,7,[Team1][Player2]: '?,9,"""'?""",'?'
por que te corres ?,,7,[Team1][Player2]: por que te corres ?,9,"""why are you running away?""",why are you running away?
xd,,9,[Team1][Player4]: xd,9,xd,xd
:'c,,9,[Team1][Player4]: :'c,9,""":'c""",:'c
hi,,5,[Team1][Player0]: hi,9,hi,hi
good neglish!,,3,[Team0][Player3]: good neglish!,9,"""good English!""",good English!
u want me bra?,,9,[Team1][Player4]: u want me bra?,9,"¿Me quieres, hermano?","¿Me quieres, hermano?"
lol,,5,[Team1][Player0]: lol,9,lol,lol
yes,,4,[Team0][Player4]: yes,9,yes,yes
also good english,,3,[Team0][Player3]: also good english,9,"""also good English""",also good English
haha,,5,[Team1][Player0]: haha,9,haha,haha
we cant dmg each other,,4,[Team0][Player4]: we cant dmg each other,9,we can't damage each other,we can't damage each other
ez,,3,[Team0][Player3]: ez,9,easy,easy
?,,4,[Team0][Player4]: ?,9,?,?
wait pe causa,,9,[Team1][Player4]: wait pe causa,9,"""wait because of""",wait because of
oh now you want to wait,,3,[Team0][Player3]: oh now you want to wait,9,oh now you want to wait,oh now you want to wait
fucking peruvians,x,3,[Team0][Player3]: fucking peruvians,9,"""fucking peruvians""",f***ing peruvians
xd,,9,[Team1][Player4]: xd,9,xd,xd
ez pudge,,7,[Team1][Player2]: ez pudge,9,easy Pudge,easy Pudge
ez burrito,,3,[Team0][Player3]: ez burrito,9,ez burrito,ez burrito
muchaco churro el chaop,,3,[Team0][Player3]: muchaco churro el chaop,9,"""boy churro the chaop""",boy churro the chaop
chapo,,3,[Team0][Player3]: chapo,9,"""chapo""",chapo
ez pa,,3,[Team0][Player3]: ez pa,9,"easy, man","easy, man"
ez hook,,7,[Team1][Player2]: ez hook,9,ez hook,ez hook
critcritcritcrit,,4,[Team0][Player4]: critcritcritcrit,9,critcritcritcrit,critcritcritcrit
jajaja ez mid,,7,[Team1][Player2]: jajaja ez mid,9,"""hahaha easy mid""",hahaha easy mid
jajaja sniper,,7,[Team1][Player2]: jajaja sniper,9,"""hahaha sniper""",hahaha sniper
por que me jals y te vas ?,,7,[Team1][Player2]: por que me jals y te vas ?,9,"""why do you pull me and then leave?""",why do you pull me and then leave?
HABIA SLARK XD?,,6,[Team1][Player1]: HABIA SLARK XD?,9,"""WAS THERE A SLARK XD?""",WAS THERE A SLARK XD?
a la mrd,,9,[Team1][Player4]: a la mrd,9,"""to hell""",to hell
gg,,9,[Team1][Player4]: gg,9,gg,gg
LMAO,,6,[Team1][Player1]: LMAO,9,LMAO,LMAO
tmr tengo hambre,,9,[Team1][Player4]: tmr tengo hambre,9,"""fuck I'm hungry""",f*** I'm hungry
haha,,5,[Team1][Player0]: haha,9,haha,haha
zzzz,,4,[Team0][Player4]: zzzz,9,zzzz,zzzz
gg,,4,[Team0][Player4]: gg,9,gg,gg
gracias,,5,[Team1][Player0]: gracias,9,Thank you,Thank you
ez mid and pudge,,7,[Team1][Player2]: ez mid and pudge,9,"""easy mid and pudge""",easy mid and pudge
haha,,5,[Team1][Player0]: haha,9,haha,haha
54 minutes EZ,,4,[Team0][Player4]: 54 minutes EZ,9,54 minutes EZ,54 minutes EZ
right,,4,[Team0][Player4]: right,9,right,right
so much bash,,2,[Team0][Player2]: so much bash,9,so much bash,so much bash
kirkincho is op,,9,[Team1][Player4]: kirkincho is op,9,"""kirkincho is op""",kirkincho is op
ez,,4,[Team0][Player4]: ez,9,ez,ez
ez wind,,5,[Team1][Player0]: ez wind,9,"""easy win""",easy win
mi hora csm,,9,[Team1][Player4]: mi hora csm,9,"""my time, f***ing s***""","my time, f***ing s***"
reporten pa,,5,[Team1][Player0]: reporten pa,9,"""report him""",report him
paguenme mrd,,9,[Team1][Player4]: paguenme mrd,9,"""Pay me, shit""","Pay me, ****"
rip,,4,[Team0][Player4]: rip,9,rip,rip
:d,,1,[Team0][Player1]: :d,25,:d,:d
fuck u,x,7,[Team1][Player2]: fuck u,25,fuck you,"""**** you"""
u motherfucker,x,7,[Team1][Player2]: u motherfucker,25,You motherfucker.,You ************.
jungle suck,,7,[Team1][Player2]: jungle suck,25,jungle sucks,jungle sucks
player,,7,[Team1][Player2]: player,25,"""player""",player
How are you bs?,,1,[Team0][Player1]: How are you bs?,25,"""How are you bullshit?""",How are you bull****?
idiot,x,7,[Team1][Player2]: idiot,25,idiot,******
fuck u,x,7,[Team1][Player2]: fuck u,25,"""fuck you""","""**** you"""
ez,,7,[Team1][Player2]: ez,25,easy,easy
game,,7,[Team1][Player2]: game,25,game,game
:D,,1,[Team0][Player1]: :D,25,:D,:D
sniper,,7,[Team1][Player2]: sniper,25,sniper,sniper
noob,,7,[Team1][Player2]: noob,25,noob,noob
Wtf,,7,[Team1][Player2]: Wtf,25,What the fuck,What the ****
ahahaha,,1,[Team0][Player1]: ahahaha,25,ahahaha,ahahaha
ez blood,,9,[Team1][Player4]: ez blood,25,"""easy blood""",easy blood
:DDDD,,1,[Team0][Player1]: :DDDD,25,:DDDD,:DDDD
tiny,,7,[Team1][Player2]: tiny,25,tiny,tiny
fuck u,x,7,[Team1][Player2]: fuck u,25,fuck you,"""**** you"""
so bad,,1,[Team0][Player1]: so bad,25,so bad,so bad
noob,,7,[Team1][Player2]: noob,25,noob,noob
bs,,1,[Team0][Player1]: bs,25,bullshit,b******t
"NOP BRİ,AN DOTA",,9,"[Team1][Player4]: NOP BRİ,AN DOTA",25,"NO BRO, I QUIT DOTA","NO BRO, I QUIT DOTA"
report storm,,7,[Team1][Player2]: report storm,25,report storm,report storm
flamer,,7,[Team1][Player2]: flamer,25,flamer,flamer
animal planet,,2,[Team0][Player2]: animal planet,25,animal planet,animal planet
FRST DOTA BS,,9,[Team1][Player4]: FRST DOTA BS,25,"""First Dota BS""",First Dota BS
this retard,x,7,[Team1][Player2]: this retard,25,this retard,this ******
blame me,,7,[Team1][Player2]: blame me,25,blame me,blame me
Ez,,7,[Team1][Player2]: Ez,25,Easy,Easy
fu,x,7,[Team1][Player2]: fu,25,fu,fu
:D,,1,[Team0][Player1]: :D,25,:D,:D
bastard,x,7,[Team1][Player2]: bastard,25,bastard,b******
HbIAAAAAAAAA!!!,,1,[Team0][Player1]: HbIAAAAAAAAA!!!,25,F*CKKKKKKKKKKKK!!!,F*CK**********!!!
HbIAAAAAAAAA!!!,,1,[Team0][Player1]: HbIAAAAAAAAA!!!,25,"""F*CK YEAH!!!""",F*** YEAH!!!
HbIAAAAAAAAA!!!,,1,[Team0][Player1]: HbIAAAAAAAAA!!!,25,"""F*CK!!!""",F***!!!
HbIAAAAAAAAA!!!,,1,[Team0][Player1]: HbIAAAAAAAAA!!!,25,"""F*CK!!!""",F***!!!
lol,,1,[Team0][Player1]: lol,25,lol,lol
bs,,1,[Team0][Player1]: bs,25,bullshit,b******t
team noob,x,7,[Team1][Player2]: team noob,25,team noob,team noob
LOL THİS BS SPEAKK EZ NOOBS FEED,x,9,[Team1][Player4]: LOL THİS BS SPEAKK EZ NOOBS FEED,25,LOL this bullshit speaks easy noobs feed,LOL this ******** speaks easy noobs feed
EEZ MİD AND ZERO BS,x,9,[Team1][Player4]: EEZ MİD AND ZERO BS,25,"""EASY MID AND ZERO BULLSHIT""",EASY MID AND ZERO BULL****
Axe leave me alone,,7,[Team1][Player2]: Axe leave me alone,25,Axe leave me alone,Axe leave me alone
peice of shit,x,7,[Team1][Player2]: peice of shit,25,piece of shit,piece of ****
:D,,1,[Team0][Player1]: :D,25,:D,:D
EZ MİD,x,9,[Team1][Player4]: EZ MİD,25,"""Easy mid""",Easy mid
Strom reported !,,7,[Team1][Player2]: Strom reported !,25,"""Storm reported!""",Storm reported!
come on bs,,1,[Team0][Player1]: come on bs,25,"""come on bs""",come on bs
show something,,1,[Team0][Player1]: show something,25,show something,show something
