messages,labels
wtf is this draft?,0
great job!,1
report this feeder,0
let's push mid,1
u suck noob,0
lmao git gud or uninstall,0
good game wp everyone,1
why tf u feeding my lane,0
nice play! keep it up,1
can u pls stop flaming?,1
OMG ur such a noob,0
gg easy scrub,0
stay safe n have fun,1
yo stop ks'ing my kills,0
thx for the carry team,1
"Report this dude, seriously?",0
"Nice teamwork, let's keep it up!",1
"Why u feeding so much, bro?",0
gg wp everyone,1
"Stop trolling, learn to play",0
"Great game, had fun",1
Don't blame team for ur mistakes,0
Well played team!,1
"Can you not be so toxic, dude",0
I appreciate the support guys,1
quit feeding dude,0
nice save bro!,1
wtf u doing?,0
gg wp everyone,1
stop acting like a noob,0
let's rosh after this,1
report this idiot,0
good luck have fun,1
can you ward pls?,1
learn to play scrub,0
"you're all trash, gg",0
"gg wp, nice play!",1
report this noob pls,0
great teamwork everyone,1
can you stop feeding?,0
thanks for the support,1
amazing game guys,1
why u so mad bro?,0
let's play again tomorrow,1
just uninstall the game,0
omg ur so trash,0
nice save there lol,1
haha gg ez game,1
learn to play noob,0
"wp team, let's push",1
stop feeding idiot,0
ggwp everyone,1
report this feeder pls,0
gl hf guys,1
why u so bad lol,0
"I told u dont feed, omg",0
gg nice come back guys,1
u r literal trash,0
any1 got wards?,1
report this afk void,0
"ty for the save, wp",1
stop blaming others,1
pls focus mid,1
ez trash team lol,0
"good push bot, keep it up",1
gg you tards,0
ez game noob,0
wp team nice plays,1
can u stop feeding?,0
nice gank ty,1
f'ing trash u are,0
carry harder pls,0
well played team,1
report afk plz,0
good job let's push,1
Stop feeding noobs,0
gg wp team!,1
Wow you're a joke,0
Let's push mid together,1
Reported for being toxic,0
"Nice play, well done!",1
Why u so bad?,0
"Team, gather for rosh",1
Stop being trash,0
"Good luck, have fun!",1
ez dis game,1
uninstall u nub,0
wp team,1
learn 2 play omg,0
plz ward next time,1
report mid feeder,0
nice try bro,1
stop feeding ffs,0
great teamwork guys,1
u r trash lol,0
srsly how u still not banned?,0
nice try! we'll win next time :),1
wtf u doing mid noob?,0
"gg wp, that was a fun game!",1
"stop feeding, play safe dude",0
ty for the assist bro!,1
report this moron afk,0
let's group up and push towers,1
"ur all trash, uninstall pls",0
great teamwork guys!,1
gg wp,1
"noob team, report pls",0
"nice play, bro",1
wtf u doing?,0
let's push together,1
u suck so bad lol,0
ty for the help,1
"stop feeding, idiot",0
well played everyone,1
omg u r so dumb,0
gg noob team,0
"Nice play, let's keep it up",1
wtf r u doin?,0
Keep pushing bot guys,1
Stop feeding idiot,0
good job mid,1
u suck man,0
Let's go rosh,1
report void pls,0
we can win this!,1
gg no re lol,1
u suck man,0
nice play team,1
report this trash,0
wp guys,1
why u feed bro,0
good job carry,1
f u all,0
"ez game, ty",1
learn 2 play,0
wtf team,0
gg wp everyone,1
noob feeder,0
nice play mid,1
are you serious?,0
let's focus objectives,1
why u no gank?,0
awesome ulti!,1
u r trash,0
well played guys,1
stfu feed more,0
nice support dude,1
ugh y r u so bad,0
"wp team, let's go",1
gg ez noobs,0
can we rosh soon?,1
stop dying mid omg,0
great save ty!,1
ur draft sucks lol,0
gl hf everyone,1
noob mid feed,0
gg wp everyone,1
stop feeding idiot,0
nice gank ty,1
where r u going?,0
well played team,1
ur such a noob,0
thanks for the help,1
shut up and play,0
keep it up mate,1
why u feed so much?,0
gg ez game wp,1
bro ur trash lol,0
ty for the help!,1
report this idiot please,0
amazing teamwork!,1
how u keep dying?,0
"nice save, team!",1
stop whining kid,0
let's push mid now,1
gg wp,1
wtf are you doing?,0
nice play team,1
you're so bad lol,0
careful mid,1
just farm safely,1
stop feeding pls,0
report this dude,0
lets keep pushing,1
gg ez boys,0
"I'm done with this team, wtf",0
"gg wp everyone, well played",1
"mid or feed, losers",0
"let's push mid, we got this",1
"you suck, uninstall pls",0
"great teamwork guys, keep it up",1
stop feeding and play safe,0
any chance to win this?,1
reported for toxic behavior,1
"np bro, we can still win!",1
ur trash lol,0
lol gg wp,1
why u feedin man?,0
nice play team!,1
ffs stop dying!,0
yo push mid now,1
noob go uninstall,0
great job supporting,1
u suck at this game,0
let's group up and push,1
"I'm done with this, gg",0
"Nice play, keep it up!",1
why u feed boi?,0
"let's rosh, team",1
"chill, it's just a game lol",1
wtf was that draft?,0
great job holding mid!,1
stop blame game pls,1
lmao you’re trash,0
"gg wp, see you next time",1
lmao so lost,0
great teamwork guys!,1
wtf was that play,0
nice save bro,1
why u feed?,0
let's push mid,1
u suck noob,0
awesome ult!,1
stop whining,0
gg wp,1
"You all suck, uninstall pls",0
"Nice play team, we got this",1
"Mid or feed, ur choice",0
Why u so bad LOL,0
"gj on the saves, ty",1
Ward the jungle pls,1
Stop feeding ur so useless,0
Great teamwork there,1
"Reported for inting, enjoy ban",0
"Gonna push top, join?",1
GG wp,1
u suck at this game lol,0
"nice play, keep it up!",1
"wtf dude, trash team",0
ty for the heals,1
who even plays like that?,0
let's push mid,1
report this feeder,0
great teamwork guys,1
stop trolling noob,0
I report team idiot,0
"Good try, gg wp guys",1
"Wow ur trash, just quit",0
"Nice play, keep it up!",1
Are you ser? what a joke,0
Ty for the support bro,1
Stop feeding noob,0
Push mid together,1
"Trash draft, so bad",0
Well played team,1
Rofl u r such a noob,0
gg wp team,1
wtf u doing,0
u r trash lol,0
nice save,1
omg why feed,0
gj bot lane,1
so bad dude,0
ty for the help,1
pls ward more,1
"Nice try, gg wp",1
wtf u doing?,0
Reported for feed,0
"Let's win this, team!",1
stop feeding noob,0
well played everyone,1
omg trash team,0
ty for game guys,1
learn to play,0
good luck next time,1
wtf are you doing?,0
Nice play team!,1
gg ez noobs,0
"Hey, let's win this!",1
reported for feeding again.,0
"well played, guys",1
"stop feeding, idiot.",0
Good job top!,1
this pos game,0
Thanks for the support!,1
gg wp team!,1
"u guys suck, uninstall dota",0
"mid missing, careful bot",1
rofl ez game,0
let's gank bot lane,1
"stop feeding, report this noob",0
"nice play, keep it up",1
why u play like that? crazy!,0
sorry for bad plays,1
"learn to play, loser",0
"yo team, what's our strat?",1
rofl ur play is so bad,0
nice op rofl,1
"wow ch, that's hilarious",1
cha boy just got wrecked,0
stop feeding the enemy pls,1
why u always afk!?,0
ggwp everyone!,1
don't flame me for trying,1
get better or get lost,0
stop feeding b,0
"Nice teamwork, gg",1
u suck at this game,0
"good job team, let's push",1
why do u even play op,0
"Amazing support, wp!",1
"gg ez, uninstall pls",0
"ty for the save, man",1
"f*** off, feeder",0
let's take rosh next,1
OMG why u feed so much?,0
nice play wp team!,1
ur a trash jungler,0
ty for the save!,1
stop playing if ur bad,0
"we got this, just focus",1
report that dude omg,0
good luck have fun!,1
lol ez game,1
stfu and play,0
gg wp team!,1
stop feeding u noob,0
nice play mid,1
wtf r u doing?,0
let's push mid,1
ur trash bro,0
good job boiz,1
report that feeder,0
ez game gg,1
shut up and play,0
ez win bois,1
rofl so bad,0
try again next time gg,1
u guys r trash,0
nice play gg,1
omg stfu noob,0
great teamwork y'all,1
stop feeding idiot,0
lol had fun,1
you're all terrible,0
ur trash gg,0
nice play bro,1
you ruin games,0
gg wp guys,1
stop feeding noob,0
why u afk?,0
good job team,1
u all r so bad,0
great support ty,1
stfu and play,0
"wtf noob team, why feed?!",0
"nice gank top, well played :)",1
can we push mid now?,1
"you suck, uninstall the game",0
"go rosh, they all dead",1
"pls ward more, ty",1
stop feeding bot you idiot,0
gg wp everyone! that was fun :D,1
"stupid support, do something!",0
awesome play! let's do it again,1
"gg wp team, let's push",1
Why u not warding mid?,0
"Nice play there, keep it up!",1
Stop feeding noob,0
Can we group for a push?,1
Your draft sucks,0
Lol good luck next game,1
Get rekt kid,0
Need wards for vision,1
u guys are trash,0
you just feeding?,0
gg wp team,1
wtf is that draft,0
thanks for the save,1
you think ur pro?,0
nice job mid,1
stfu and play,0
gl hf everyone,1
you're trash bro,0
let's push top together,1
gg wp team,1
"u all trash, uninstall",0
"nice play, keep it up!",1
"report mid, useless af",0
"great teamwork, guys",1
stop feeding u noob,0
we can still win this,1
"learn to play, idiot",0
thanks for the support,1
"why u so toxic, chill",1
team stop feeding,0
Well played everyone!,1
wtf are you doing noob,0
nice gank gg,1
report this idiot pls,0
@mid care roams,1
u all suck so bad,0
good push let’s win,1
i cant carry 1v5 idiots,0
great save ty,1
gg wp team,1
what r u even doing?,0
nice play dude,1
stop feeding omg,0
great job on the rosh pit,1
why are you so bad at this?,0
teamwork makes the dream work,1
ur useless get out,0
awesome ulti bro,1
I'll ward up top lane,1
"ggwp team, well played",1
"wtf r u doing, noob?",0
"nice ulti bro, keep it up",1
stop feed n play safe,0
"this game is so intense, love it!",1
"rofl, u suck at this",0
"report mid pls, toxic af",0
"great teamwork guys, let's win this",1
ur such a bad player omg,0
let's push mid and gg ez,1
stop feeding noob,0
good job team!,1
u suck so bad,0
lets push mid!,1
why the f**k u afk?,0
beware of gank top,1
omg ur such a troll,0
"nice one, well played",1
why u no support?,0
"go on, we got this",1
"gg wp, nice game guys",1
u call that a team?,0
"yea boy, we rock!",1
"stop feeding, noob",0
that was hilarious lol,1
"fking idiots, I carry u",0
"let's push mid, go go",1
"learn to play, trash",0
"nice ult man, gg",1
wish u luck next time,1
"I'm done, just uninstall",0
gg wp,1
ur so bad lol,0
"Nice play, keep it up!",1
wtf team?,0
Let's push mid together,1
"You're trash, uninstall",0
"Great teamwork, guys",1
Noob feeder...,0
Thanks for the assist!,1
stop feed and play,0
that was gg wp,1
"ur so bad, lol",0
good play guys,1
can u stop inting?,0
nice team coordination!,1
wtf are you doing?,0
amazing game wp,1
shut and play,0
really fun match!,1
"I'm done with this game, u guys are trash",0
"Nice job team, we got this",1
Why u feeding mid?,0
Let's push bot and end this!,1
Lol ur so bad at this,0
"Good luck, have fun everyone!",1
"Report this guy, so toxic",0
"Great teamwork, keep it up",1
Stop playing like noobs!,0
"Awesome save, well played",1
Why did u feed???,0
"Good job team, we got this!",1
"stop talking trash, play better",0
"Nice moves, let's push mid!",1
OMG that was awesome play!,1
bro ur so bad omg,0
"Thanks for the help, much appreciated!",1
can u pls focus on the game,1
"just uninstall already, useless",0
"Keep it up, we're doing great!",1
u guys r trash,0
"nice play, wp team",1
stop feeding omg,0
"gj all, let's push",1
why u so dumb?,0
keep up the good work,1
noob team report,0
ty for the help,1
u lost us the game,0
"that was fun, gg",1
I'm tired of this,0
Good job team!,1
"Ur trash, uninstall",0
Nice save!,1
Why u feed?,0
Thanks for the help,1
What a joke haha,0
Let's push mid,1
Useless as ever,0
Keep it up guys,1
"Yo use skills, not brain",0
"nice game, we got this",1
wtf are u doing?!,0
can we group up and push?,1
Reported for feeding idiot,0
"wp all, let's keep it up",1
stop feeding you noob,0
great teamwork guys,1
ur all trash,0
thanks for the save!,1
gg wp team,1
stop feeding dude,0
ty 4 the help,1
wtf r u doing,0
nice play bro,1
shut it noob,0
let's push mid,1
lol that was close,1
u suck at this,0
can u ward plz?,1
gg wp team,1
report this idiot pls,0
hey nice plays there,1
you guys suck,0
great game mates,1
stop feeding u noob,0
"op hero, well played",1
get gud noob,0
thanks for the game,1
utter trash player,0
u r such an idiot!,0
"gg wp all, nice game!",1
idc about ur op strat,0
can u play support next?,1
"stop feeding, ur trash",0
"wp team, we did it!",1
why are u even playing?,0
ty for the heals,1
"get lost, noob",0
"keep pushing mid, we got this",1
