messages,labels
"gg ez, nice team!",0
You deserve a win :),0
Report this kunkka please,1
Mid is so easy lol,0
"Why u always feeding, dude?",1
That was a great comeback!,0
U THINK YOU CAN WIN?,1
"Give it your best shot, guys!",0
I can't even handle this team,1
get rekt noobs,1
gg wp everyone!,0
can't even kill alone lol,1
want win? Play better team!,0
you deserve to win easy,0
stop fucking feeding,1
my team is f***ing trash,1
"nice strategy, keep it up",0
"report you, please",1
"mid is EZ, like I said",0
I can't even kill them lol,0
YOU ARE SO FUCKING BAD,1
Mid is easy this game,0
fucking report please,1
I think we can win?,0
"You, fuck yourself",1
English. message ready,0
"game is done, gg",0
"I hate you, fucking Fiend",1
just give it a try,0
you fucking kidding me??,1
mid or feed,1
gg wp everyone!,0
"I was afk, srry team",0
report this noob pls,1
"you did well, keep it up!",0
fucking terrible game,1
let's push mid together,0
I'm done with this shit,1
"Nice support play, ty!",0
I'm done with this fucking game,1
"Let's win this, report Kunkka please",0
You fucking suck dude,1
Guys we can win if we group,0
Easy mid like I said,0
I can't even with this team lol,1
Why did you feed like that?,1
Give me vision and we win,0
"LOL, 10 minutes and we still can't push",1
"Good game, well played all",0
gg wp guys,0
I think we can still win,0
you can't even play mid LOL,1
freakin awesome game,0
stop feeding and play,1
we need more wards pls,0
fking noob team,1
nice save on the tower,0
get gud or get lost,1
"keep it up, we got this!",0
I can't even handle this game,1
"You guys are doing great, keep pushing",0
What the hell are YOU doing?,1
"Nice job mid, let's keep the pressure",0
I can't believe how fucking bad this is,1
"Report please, we need a new game",1
"Good game team, that was super easy",0
Do you want to win? Focus up,0
"Fucking hell, you are useless",1
"Let's push and end, gg!",0
I'm done with this fucking game,1
"mid was so easy, gg guys",0
I can't even with this dog team,1
"nice play, you saved the game!",0
"You ARE SO BAD, WHAT A JOKE",1
Let's win this! We got it!,0
This game is 20 mins of pain,1
"Easy game, well played team",0
Why didn't you help on lane?,1
"report kunkka please, afk",1
"I'm done with this game, fucking troll team.",1
"You guys played well, gg!",0
"Can't believe you fed mid, what a joke.",1
"Honestly, I think we can win, let's focus.",0
"Hey, I need help top lane, please.",0
"You YOU ARE so trash, what are you even doing?",1
"Report Kunkka please, he's trolling.",1
"Nice teamwork, let's push for the win!",0
"GG, you guys deserve the win, well played.",0
Why do you play if you can't even last hit?,1
"gg wp team, we played well",0
"bro, just give me the mid lane",0
YOU ARE A FUCKING NOOB!,1
"wtf is this game, 20 min of suffering",1
"can't even play decently, lol",1
"nice play there, well done!",0
"report kunkka pls, he trolled",1
"lol, easy mid like a pro",0
I honestly think we can win,0
fucking game is hard :(,1
gg wp team,0
you feed so hard lol,1
can we focus mid?,0
fucking worst game ever,1
I need help bot pls,0
and you suck dude,1
"you did great, kudos",0
stop stealing jungle creeps,1
"I want to win, let's go!",0
omg your Sniper is trash,1
you fucked our lane gg,1
just play the game well,0
fucking game is so done,1
"mid is easy, like player?",0
"can't even get a kill, lol",1
I think I want to win?,0
lol 20 minutes in,0
YOU ARE FUCKING useless,1
game time is 20 minutes,0
"report please, ask kunkka",0
gg wp team,0
YOU ARE SO BAD,1
mid is easy lol,0
can't even play this game,1
well played guys,0
fucking 20 min game...,1
can we win?,0
report this idiot,1
nice comeback!,0
YOU SUCK,1
gg wp team,0
stop feeding you noob,1
report kunkka please,0
I swear you're all fucking useless,1
nice gank mid!,0
"fuck this game, you all suck",1
"well played, nice push",0
"why you afk, we want win?",1
my team is the best!,0
you're like the worst player,1
get ship easy gg ez,0
I can't even with this game,1
pls report kunkka,0
You ARE FUCKING TRASH,1
mid like Easy game,0
where's my team??,0
What you THINK you're doing?,1
stop feed lol wtf,1
nice job top lane,0
want to win? play better,0
give me mid pls,0
You fucking suck,1
can we win this game?,0
report kunkka please,0
I think you deserve a ban,1
lol this game is 20 mins in,0
YOU ARE FUCKING USELESS,1
"nice play with Sniper, like",0
"get good, you're trash",1
"GG wp team, I love this",0
"Nice play guys, let's keep it up!",0
Can we get some help mid?,0
"Dude, just farm and we'll win easy",0
"Why are you feeding their fiend, lol?",1
"Don't waste time, let's push",0
Stop fucking around and focus!,1
"Nice move on the sniper, easy!",0
Report this Kunkka please,1
"Mid is done, GG",0
"You can't even play, what a joke",1
I can't even right now lol,0
"You suck at this game, quit.",1
That was an easy mid win!,0
"Stop feeding, play better or leave.",1
"My team is trash, gg.",1
"Nice gank, let's do it again!",0
I want to win? Or just get over it?,0
"FUCK YOU, idiot!",1
"Report Kunkka please, useless.",1
"Great job, team, let's keep it up!",0
"gg guys, let's win this!",0
I'm done with this fucking game,1
"Easy mid, we got this",0
"Can't believe this shit, report kunkka!",1
The game is already 20 minutes in,0
"stop feeding, you suck!",1
"What a comeback, nice teamwork",0
"Lol you, stop being a dog",1
Anyone want to take mid next?,0
YOU ARE FUCKING AWFUL!,1
gg wp team,0
I hate this fucking game,1
can u help mid lane?,0
fucking noobs everywhere,1
"we can win, don't give up",0
report kunkka please,1
good job with the ganks,0
YOU ARE A JOKE,1
"easy mid, just like i said",0
omg u shit player,1
"mid is mine, back off",1
"gg team, we got this",0
you can't even last hit lol,1
let's win this one guys!,0
fucking game is so done,1
great job with the ganks!,0
"I give up, this team sucks",1
"easy game, easy life",0
report this toxic player please,0
why is the mid feeding again,1
"Can we pls win this, team?",0
You fucking suck at this game,1
"gg wp everyone, well played",0
I can't even deal with your shit,1
"Mid is so easy, Sniper player?",0
"Get your shit together, noob",1
"Great game, let's go again",0
YOU ARE FUCKING TERRIBLE,1
I like how we played as a team,0
"Report this clown, please",1
gg easy mid like cake,0
you can't even play lol,1
I'm done with this game,0
what are you doing?!,1
lol good 20 min game,0
get your shit together,1
let's win this like champs,0
I think I like this match,0
fucking idiot stop feeding,1
you and your fucking skills,1
"I can't believe you, gg",0
"fucking mid, get a life",1
"easy game, gg wp team",0
"you always feed, report!",1
"nice play, let's win",0
your skill is trash,1
I think we can win,0
done wasting my time,1
let's push mid and win,0
"you are so bad, lol",1
"Dude, we can still win",0
I can't even with this team,1
"Get mid, it's easy",0
What the fuck are you doing?,1
Let's gank mid and win,0
"Shit Fiend is fed, lol",1
Report Kunkka please,0
"Stop sucking, I want to win",1
This game is fucking hard,1
"Nice play, well done everyone",0
fucking game so hard 4 us,1
"pls report kunkka, he's useless",0
lol easy mid,0
YOU ARE FUCK TRASH,1
can't even kill alone lol,0
just get ship and win,0
I think u suck,1
"game done, gg",0
you know nothing,1
let's play like a team,0
"fucking game is so done, gg wp",0
"I can't even deal with you, just uninstall",1
"Let's win this, I want to play more",0
you fucked up mid lane so bad,1
"team, get easy win and move on",0
I think you need to play support,0
fuck you and your shitty hero,1
report this moron please,1
"done with this game, gg everyone",0
"why are you so bad, seriously?",1
"I can't believe this game, lol",0
YOU FUCKING SUCK!,1
gg wp everyone,0
"report pls, kunkka feeding",1
EZ mid like always,0
stop crying and play the game,1
"need help at lane, anyone?",0
"you're fucking trash, noob",1
"good game, let's win the next one",0
just give me farm and we'll win,0
can't even handle this game lol,0
you deserve a better team,0
I think you all need to calm down,0
what a fucking waste of time,1
My team is so f***ing bad,1
"easy mid, gg guys",0
"This game is done, let's win",0
report kunkka he's feeding,1
YOU ARE ALL TRASH,1
lol 20 minutes and we're winning,0
"gg wp team, we can do it!",0
yo mid is ez af lol,0
I can't believe this fucking game,1
"report Sniper pls, feedin all game",1
"You guys rock, awesome plays",0
lol get rekt again,1
need help bot pls,0
stop being so toxic dude,0
"freaking 20 min game, we're done",1
"nice job everyone, keep it up!",0
How's this game already done lol,0
You deserve this loss!,1
"can't even handle mid, lol",1
report kunkka please,0
"FUCKING hard game, wtf",1
"Let's win this, honestly try harder guys",0
mid so easy lol,0
"you, fed again Lega, GG",1
"Let's get this win, easy",0
YOU ARE trash dude,1
"I can't even play with you, lol",1
"I'm done with this game, no fun gg",0
You fucking ruined the game,1
Mid is easy when you play like that,0
You can't even get a kill alone,1
Want to win? Try playing better,0
I'm shocked at how bad this game was,0
"Report please, this guy fed mid",1
"Lol, you think I care?",0
"GG, nice team effort everyone",0
get mid easy guys,0
I can't even game,0
fucking done with this,1
You are a fucking joke,1
win this like easy,0
I know this game 20 min,0
YOU FUCK YOU ARE BAD,1
we can win ? easy,0
report please dog,1
my team easy win,0
"game over, gg",0
You fucking kidding?,1
nice play team!,0
mid is so easy lol,0
I can't even with this team,1
"get it done, easy win",0
stop feeding you idiot,1
want to win? focus,0
"shut up and play, moron",1
thanks for the help!,0
gg guys wp,0
can we pls focus mid?,0
u fucking suck omg,1
I want to win!,0
"the game is done, let it go",0
you are fucking trash,1
mid easy af lol,0
my team is so bad wtf,1
lol this game is 20 mins already,0
YOU ARE SO BAD OMG,1
"gg wp guys, nice teamwork!",0
"yo, can anyone help mid plz?",0
"fucking game done, you all suck",1
"I cant believe you fed that hard, smh",1
"Let's win this, push as 4x4",0
"You really need to learn to play, man",1
"report pls this troll, afk all game",1
"like, this is the best team ever!",0
"Can't even lane properly, what a joke",1
"EZ mid, gg team!",0
I can't even with this team,1
"gg wp, nice game!",0
"stop feeding mid, you suck",1
"I need help bot, pls",0
"report this idiot, fucking troll",1
"lol, nice try Shadow Fiend",0
"You deserve the win, well played",0
stop flaming and play the game,0
"fucking useless team, uninstall",1
let's push and win guys,0
LOL this game is so easy,0
I can't believe you fed mid again,1
"Nice job team, let's push!",0
Why do I always get idiots in my games?,1
"Ez win guys, gg",0
You are fucking useless this game,1
"Hold mid, I'm on my way",0
Classic feeding like a noob,1
"Need help bot, let's group up",0
Fucking report these guys,1
I think we can win this!,0
You fucking ruin every game,1
"Get mid, it's easy win",0
I can't believe we're losing this...,0
YOURE SO BAD WTF,1
I want to beat these players,0
"fucking shit team, gg",1
"easy game, well done",0
report kunkka pls,1
"gg guys, well played",0
gg mid was easy,0
I can't even with this shitty team,1
you deserve MVP for that play!,0
get the fucking game done already,1
did you see that sick move? lol,0
YOU FUCK YOU RUINED MY GAME,1
let's try to win next time,0
report this fucking noob please,1
"that was a fun game, guys",0
stop feeding you idiots,1
"yo, you suck mid",1
"nice play, guys",0
I can't even handle this game,1
"get the ship, It's easy",0
"gg, well done team",0
"stop feeding, omg",1
anyone want to win?,0
fucking trash team,1
"let's push mid, easy win",0
you deserve to lose,1
gg ez,0
I hate this fucking game,1
You can't even kill alone,1
Let's win this game,0
Mid like Sniper?,0
Fucking go mid hard,1
Yo you want or win?,0
Report kunkka please,1
You deserve a win,0
"Shit happens, lol Fiend",0
gg easy mid lol,0
You can't even play this game right,1
let's win this together team,0
Why you play like shit Fiend,1
can someone help me top lane?,0
You fucking suck at this game,1
did you see that skill?,0
I think we can win if we push mid,0
"YOU ARE SO BAD, WHAT A JOKE",1
good game wp team,0
gg wp team,0
fucking game is done,1
mid is easy lol,0
can we just win please?,0
you can't even play lol,1
report that kunkka pls,0
why you so toxic?,0
I hate this fucking game,1
my team is so bad,1
let's go for the win,0
gg wp,0
I can't even with this team,1
Why u feeding mid???,1
"You played well, ty",0
Let's go 20 min game,0
Wish I had a better team,1
"Nice gank, GG",0
You deserve that win,0
"Easy game, try harder",1
"Report pls, afk player",1
"I'm done with this game, gg",0
"YOU FUCK game up, man",1
mid's like super easy lol,0
I can't even deal w/ you,1
Want to win? play smarter,0
fucking useless noobs,1
and I think you did well,0
"report please, team toxic",0
fuck you and your gameplay,1
get easy win like this,0
I'm so done with this game,0
"YOU ARE SO BAD, FUCK!",1
mid easy win,0
wtf you I can't even,1
let's get win easy,0
you and your shit lane,1
pls report kunkka,0
lol u rly think u can?,1
game was 20 mins easy,0
Stop fucking feeding,1
"I can't believe this game, so done",1
GG well played team!,0
"Stop feeding, learn to play!",1
"I want to win, let's push mid",0
This fucking game is hard lol,1
"Great job, we're owning!",0
You can't even handle mid alone,1
Can we get some wards please?,0
Why u keep dying? Feed much?,1
"Awesome teamwork guys, keep it up!",0
fucking game is impossible,1
I think we got this one,0
why u mid like that lol,0
YOU ARE A JOKE,1
can we report pls,0
you can't even play lol,1
want to win or not?,0
gg easy game,0
what the fuck r u doing,1
nice teamwork guys,0
gg wp team,0
you guys are awesome!,0
stop feeding mid omg,1
wtf was that play?,1
nice gank keep it up,0
report kunkka please,1
get diffusal on PA,0
you can't even kill me lol,1
I want to win this game,0
you're so bad at this,1
I can't even with this team lol,1
pls report kunkka he's feeding,1
gg wp everyone,0
mid is easy peasy,0
fucking game is so done,1
I think we can win?,0
yo ask for help in lane,0
my team is f***ing useless,1
you want to give it a try?,0
YOU ARE A FUCK,1
I'm done with this game,0
Fucking you suck!,1
"gg, nice play team",0
YOU ARE SO BAD,1
I can't believe you,1
"Let's win this, we can do it!",0
report kunkka please,1
"Mid is easy, like I said",0
stop feeding you idiot,1
my team is great,0
"I give up, this game is done",0
"YOU FUCKING SUCK, I can't even",1
"gg wp, you played well",0
"get good, you're a joke",1
"Let's win this game, team!",0
"you are fucking useless, mid",1
anyone wanna help mid lane?,0
"I know I'm not the best, gg",0
can't believe you fed like that,1
"thanks for the support, guys!",0
I can't even with this game,1
"You did great, let's keep it up!",0
What are you doing mid? Lol,1
"GG everyone, well played",0
I think we can win if we try,0
"This game is done, too hard",1
YOU ARE THE BEST SUPPORT,0
I hate when ppl don't listen,1
"Let's go, mid is easy win",0
"Report that player, please",1
mid is fucked no help gg,1
I want to win please,0
get good Ez game,0
"you, fucking feeder omg",1
"pls report kunkka, 20 times",1
done with this game seriously,0
give me mid or I feed,1
can't even handle easy game,1
I think we can win!,0
"like, Sniper player? lol",0
game done gg,0
I can't believe you suck,1
"lol, mid easy af",0
"fucking team, report",1
want to win? follow me,0
you deserve a break tbh,0
YOU ARE A FUCK,1
my team just bad,1
"gg, nice play Sniper",0
20 mins of shit play,1
gg wp team!,0
you suck lol,1
need help mid pls,0
fucking lose this game,1
nice gank ty,0
you can't even play,1
great teamwork guys,0
stop feeding omg,1
push bottom lane,0
you're so bad,1
get outta my lane lol,0
The game is fucking done,1
we got this guys,0
fucking game so hard to win,1
Easy mid like I said,0
can't even play this hero,1
u guys are awesome,0
YOU ARE FUCKING BAD,1
I want to win this game,0
shit Fiend can't do anything,1
u guys are the best team!,0
"just report this feeder, gg!",1
I can't even with this game,1
mid is so easy like this,0
"pls help top, losing hard",0
YOU FUCK ARE YOU DOING?!,1
"game done, gg wp anyway",0
"your skill level is 0, lol",1
can we get a win? try pls,0
"stop sucking, play the game",1
I think you should go mid,0
Fucking report this Shadow Fiend,1
we want win or what,0
can't even play this game lol,1
give me the lane I carry,0
Easy mid like a pro,0
YOU WHAT ARE YOU DOING,1
fucking game is so hard,1
"Seriously, get your shit together",1
nice game let's win this,0
"I give up on this game, fucking done",1
"help mid plz, easy win",0
"YOU ARE SO BAD, WHAT A JOKE",1
"I like this game so far, gg",0
"you can't even play, trash team",1
"report pls, we need a better team",1
"Let's keep pushing, we got this",0
wtf you doing? play properly,1
"gg guys, well played",0
we win this if you stop feeding,1
I can't even play with these dogs,1
GG wp everyone!,0
Mid easy game,0
Why u feeding? You suck,1
"Let's win, we got this!",0
Are YOU FUCKING kidding me?,1
"Support, please, help mid lane",0
"Stop being toxic, let's focus",0
"Get your shit together, team!",1
I think we can win this,0
Just go and win,0
I can't even with this team,1
easy mid gg,0
You are fucking terrible,1
We need help top lane,0
Why the fuck are you in my lane?,1
good game tho,0
I want to report please,0
done with this fucking game,1
give me the time please,0
I can't even believe this game...,0
Yo mid easy haha,0
I fucking hate you!,1
Super easy game guys,0
YOU ARE FUCKING USELESS,1
Let's win this one team,0
"Game is done, well played 20 mins",0
Get your shit together lol,1
Want to win? Focus pls,0
You're all idiots,1
"lol, you can't even play this game",1
gg wp team!,0
mid ez game for me,0
You deserve the report honestly,1
I think we can win this,0
"fucking hard game, but we can do it",1
Pls help top lane,0
stop feeding you idiot,1
"Sniper, you like my skills?",0
wtf are you doing???,1
gg wp guys,0
stop feeding i swear,1
that was an awesome play,0
you can't even lane properly lol,1
"easy game, gg",0
"I want to win, stop trolling",1
great teamwork everyone,0
"fucking hell, report him",1
mid was way too easy,0
you deserve to lose lol,1
I think you need to push,0
fucking game is over,1
lol can't even kill alone,0
my team is f***ing bad,1
report kunkka please,0
YOU FUCKING FEEDER,1
want to win? focus pls,0
get your shit together,1
like mid? Easy win,0
"you, fed again, omg",1
I can't believe how easy that mid was lol,0
Fuck you and your trash game,1
You want win? Play better,0
Did you honestly think Fiend shit was gonna work?,1
"The message in English is clear, gg wp",0
You can't even last hit properly omg,1
lol 10 minutes in and you're still useless,1
Give me my lane back please,0
"Nice job team, we actually got this!",0
"YOU ARE SO BAD, FUCK OFF",1
gg ez game,0
What are you doing? lol,0
"I hate this team, so bad",1
stop feeding or report,1
mid is like super easy,0
"can't even play, fuck",1
"we got this, stay safe",0
want win? then play better,1
you guys are awesome,0
"f***ing noob, uninstall",1
I'm shocked by this game,0
YOU ARE SO BAD,1
get that easy win,0
fucking done with this team,1
and here I thought we'd win,0
mid like you can't even play,1
"gg, want to win another?",0
can't believe this shit,1
Please report kunkka,0
this game is fucking hard,1
I fucking hate this game,1
"mid is easy, like a walk",0
you guys want win?,0
can't even play this shit,1
report kunkka please,0
I speak and you can't even,1
done with this fucking game,1
"gg, The game was fun",0
"You suck, honestly",1
"let's just win, easy",0
I'm done with this fucking game,1
"You played well, gg",0
"Can you help mid, please?",0
"FUCK YOU, what a joke",1
I think we can win this,0
"Stop feeding, you are so bad",1
Let's focus and push now,0
Your skill is a joke lol,1
"EZ mid, too easy guys",0
Report this kunkka pls,1
I can't even with this game rn,1
"gg wp guys, close game!",0
"mid is stacked, we got this",0
stop feeding like a noob,1
"pls report this guy, he's trolling",1
"We need more wards, team",0
I want win? just play smart,0
fucking game is so hard right now,1
"You all played great, ty!",0
you can't do shit alone,1
I'm shocked how you still play,0
wtf you doing mid???,1
give mid or report lol,1
i cant even believe this game,0
you f***ed this up so bad!,1
gg team nice work,0
carry hard like a boss,0
report that kunkka pls,1
"easy mid, ez life",0
stop feeding and play,1
"I'm done with this game, gg",0
"You deserve to lose, lol",1
"I want to win, let's play smart!",0
"Fucking mid is a joke, like wow",1
"gg team, well played",0
"The message was clear, gg",0
I can't even with this team,1
"You, report please, feeding",1
"mid was easy, good job",0
What the fuck was that play?,1
I'm done with this game...,1
"You guys played well, gj",0
fucking mid is so hard,1
need help top pls,0
you can't even kill one,1
"let's win this, team!",0
"get ur shit together, man",1
"we got this, my team is great",0
"stop feeding, report pls",1
great teamwork everyone!,0
I can't even believe this game,0
"you, fucking useless mid",1
"gg, well done team!",0
stop feeding and play the game,1
"easy win, my team is great",0
Why u always like this?,1
report Shadow Fiend please,0
YOU ARE ALL SHIT PLAYERS,1
"I want to win, let's focus",0
fucking 20 minutes and we're done,1
"I think we got this, let's win!",0
YOU ARE SO BAD OMG,1
"smooth game so far, keep it up",0
can u guys stop feeding?,1
"mid's easy, like taking candy",0
get the easy win!,0
"I can't even with this team, gg",1
"seriously, stop sucking",1
"nice play there, well done",0
wtf are you doing in my lane,1
I'm sick of this fucking game,1
gg wp team,0
Can't even get a win lol,1
You guys are doing great!,0
"report that feeder, please",1
sniper mid is too easy,0
pls help top lane,0
I think we can win?,0
stop feeding and play,1
"game's done, well played",0
I can't carry this alone,0
"Fucking garbage game, honestly",1
"You deserve the win, gg",0
Why you feed like 20 times?,1
report kunkka please,1
"What is this, you playing?",1
Let's just get this win,0
Mid is easy peasy,0
"Seriously, I think we can win",0
YOU ARE SO BAD WTF,1
"I think we can do this, let's go!",0
fucking game is so hard,1
mid is too easy rn,0
"get them, team!",0
You ARE a SHIT player,1
can you report Kunkka please?,0
fucking hate this game,1
"you can't even play, lol",1
want to win or not?,0
gg wp guys,0
you can't even kill alone lol,1
"I want to win, gimme mid",0
"stop sucking, this game is done",1
"gg wp everyone, nice play",0
what the fuck YOU doing?,1
"let's report please, toxic guy",0
You deserve the pause man,0
fucking game is hard,1
I think I fed too much lol,0
my f***ing team is shit,1
you all fucking suck,1
gj team well played,0
I need help mid pls,0
stop feed u idiot,1
easy win gg,0
go die in a fire,1
report kunkka pls,0
I can't believe this game,0
get good or get rekt,1
well played let's push,0
I think I give up,0
YOU ARE FUCKING TRASH,1
Mid is so easy lol,0
Can you please report kunkka?,0
Game done when?,1
My team is f***ing useless,1
You want to win?,0
"Easy game, get good",1
"You know you're bad, right?",1
I can't even carry alone,0
"I can't even with this game, lol",0
Fucking useless team,1
mid is like easy win,0
You deserve this loss,1
Let's just play and enjoy,0
Get shit done Fiend,1
You ARE so bad at this,1
"We can win, just need to focus",0
"Wow, that was a good game!",0
Stop feeding you idiots,1
gg wp team,0
report this kunkka pls,0
I fucking hate this game,1
mid like Sniper player?,0
can't even kill alone lol,0
YOU ARE FUCKING USELESS,1
my team is so bad omg,1
what a game lol 20 mins,0
you can't handle this game,1
"EZ mid guys, good game",0
"gg team, wp!",0
wtf are you doing?,1
"nice assist, let's push",0
get the fuck out of my lane,1
can someone help mid pls?,0
you're so fucking bad,1
good time for a smoke,0
"stop feeding, report this guy",1
"let's win this, focus",0
just uninstall the game,1
"you, fed like always lol",1
gg easy mid,0
I want to win? let's focus,0
YOU ARE FUCKING useless,1
get the easy game,0
"can't even kill alone, lol",1
We need to report please,0
stop fucking around and play,1
"good game, well done",0
"like game, done and dusted",0
gg wp everyone,0
"can't believe u guys, report plz",1
"easy mid, like I said",0
"fucking game, done with it",1
I want win or quit games,0
"YOU FUCK ALL, seriously",1
hey can you help mid?,0
lol u all just feeders,1
"nice game, let's queue again",0
how'd you beat 20 minutes?,0
game is fucking hard lol,0
"I can't believe you, report please",1
"mid is easy, gg",0
"stop feeding, seriously wtf YOU ARE DOING",1
can we win? want to try?,0
"yo, give me a break and help",0
"you can't even lane right, so bad",1
"good game, let's play again",0
"fucking done with this game, noob team",1
"nice plays, I like your style",0
you fucking lost us the game,1
"I can't believe we won, gg team",0
"you want mid, or easy lane?",0
stop being so fucking useless,1
I give up on this game already,1
let's report kunkka pls,0
"were done here, easy win?",0
"my skill maxed, easy game",0
"fuck YOU, learn to play",1
"gg guys, well played",0
"lol, 20 minute game",0
"you, fed Lega",1
I think I give up,0
YOU FUCKING SUCK,1
You want win?,0
fucking game is hard,1
can't even kill alone,1
"gg, easy mid",0
get shit Shadow Fiend,1
report kunkka pls,1
"give me mid, easy win",0
fucking done with this game,1
can you help top lane?,0
YOU FUCKING SUCK,1
i want to win or what?,0
report kunkka please,1
lol easy game guys,0
you can't even handle this,1
gg my team,0
shut up and play,1
gg ez game,0
you fucking suck,1
I think we can win?,0
"mid or feed, ur choice",1
report kunkka please,0
stop stealing my farm!,1
"you, play like a bot",1
"The game was fun, gg!",0
can't even 1v1 lol,1
"give me ward, I'll place",0
"I'm so done with this game, AFK",1
"You did amazing, gg team!",0
"Stop feeding, play smart!",1
"Need help mid, anyone?",0
"You can't even lane, LOL",1
"EZ game, well played all",0
"Fucking noob, uninstall",1
"Nice save there, thx!",0
Reported for griefing!,1
"I'll support, let's win!",0
gg mid was easy,0
you fucking ruined the game,1
I think we can win?,0
"game's done, let's move 20",0
you are so fucking bad,1
"mid like a Sniper, honestly",0
"lol, what a shit Fiend",1
can't even speak dog lol,1
"let's get this win, team",0
report this fucking Kunkka please,1
"get that mid easy, gg",0
fucking game done u suck,1
i cant win with this team,1
you want to win? then try,0
mid is hard like this,0
you YOU FUCK stuck on lane,1
lol 20 min and we winning,0
report pls feeding again,1
just play and have fun team,0
stop the toxic and chill,0
mid or feed lol,0
fucking game so hard!,1
I want win? or just play?,0
yo you suck at mid,1
EZ mid like Sniper,0
"20 min game done, gg",0
YOU ARE SO BAD WTF,1
get shit together Fiend,1
report kunkka pls,1
"team, we got this!",0
gg wp guys,0
I can't even with you,1
report kunkka please,0
mid was easy lol,0
fucking game over,1
I think you suck,1
want to win? play better,0
You ARE SO BAD,1
"The game is done, gg",0
shit Fiend fed us,0
"I can't even handle this game, it's so fucking hard",1
"gg wp team, let's go for the next one!",0
You suck mid like a noob lol,1
Can anyone help top lane 20 min already!,0
