chat,label
"Wow, Embers at my lane again. What a surprise. Are you all still sleeping.",-1
"We need to stick together for the next fight. PL, you're carrying us, man. Keep it up!",1
"Great, Naga's afk farming jungle while we lose. This is just perfect, fucking amazing.",-1
"20 min in, let's get vision around their jungle. I'm close to BKB. Keep up the pressure!",1
You guys are playing like shit. Can we get one decent fight. Never seen such crap.,-1
"glhf team. Let's have a good game. I will support as pos 5 Crystal Maiden. Remember to call missings. Wards on cooldown, will place soon.",1
"Can we focus on pushing T1 mid please. Let's time our ults for teamfights. Doing great guys, keep up the pressure. Roshan is up soon.",1
"Nice job team. Pudge, great hooks. Keep it up. I'll grab some wards for river control. Invoker, coordinate for ganks with Sun Strike.",1
"Wonderful teamfight. We can push high ground now. Luna, your Eclipse was perfect, let's do it again at the next fight. Stay together.",1
"Don't forget to suggest items if needed. BKB ready on CK. Keep playing as a team. Roshan up in a few minutes, let's prepare.",1
"Oh my god, Invoker, you can't even land a Sun Strike. Maybe you should uninstall. So tired of this shit game. Can't carry this trash.",-1
"Why are you feeding, Pudge? Are you even trying? What a joke. Just type gg and end this miserable game.",-1
"Seriously, why bother picking jungle if you can't farm. Useless. Nice feeding. gg go next, can't take this anymore.",-1
"How many times do I have to say it? WARD THE FUCKING MAP. It's like I'm playing with bots. Jesus, this is painful.",-1
Can you guys stop diving tier 3s like idiots? Maybe stop playing like brain dead losers. Waste of time.,-1
glhf team. I’ll be going mid with Invoker. Let’s keep vision on their jungle. Gank top at 10 min. Stay positive guys.,1
what's wrong with you pos 1? you can’t farm shit. fuck this game. ward your damn lane or lose.,-1
"nice try Pudge, but stop feeding. play safe next time. did anyone see Roshan timer?",1
get out of my lane. I said I’m mid. can you even last hit? just uninstall dude.,-1
gj on the Roshan steal guys. nice team fight. keep up the good work. what’s next?,1
"Pudge, stop diving. you're throwing the game. can you please stop trolling? unbelievable.",-1
"great gank bot, guys. that was perfect timing. make sure to get a ward near T1 mid.",1
why the hell didn’t you use your BKB? are you fucking blind? every fight you screw up.,-1
"CM, don't worry about it. we can still turn this around. keep an eye on the enemy movement.",1
just give up. you guys play like shit. can’t even hold your lane. why am I matched with noobs?,-1
"glhf team. Let's focus on taking objectives. Invoker, I will support you with wards. Can we smoke and go for Roshan?.",1
"OMG Invoker, what are you doing? Stop feeding mid, please! Can you even play this hero?. This is why we're losing, because you can't play your role.",-1
"Hey Pudge, nice hook earlier. Keep up the good work. We should push T2 tower soon. Who's got smoke for a gank?.",1
"WTF was that Chronosphere, Void?! You trapped all of us, you idiot. We had a chance until that shit. Learn to play, seriously.",-1
"Crystal Maiden, you are doing great with those freezing fields. Let's keep pressuring them. Remember to fall back if low, and we'll regroup.",1
"Can someone finally buy wards and stop being such a useless bot?. Maybe if some people learned how to Dota, we wouldn't suck this bad.",-1
"Guys, let's group mid and push this advantage. We have more farm, and we can take Roshan. Good job so far, team.",1
"Pudge, stop missing your hooks, they're not even moving. Can you play any worse?. Shit, can't believe I have to carry this.",-1
"Good job, team! Amazing defense on high ground. Keep the spirits high and let's close this game with a push down mid.",1
"Invoker, you're trash at last-hitting. How hard is it to hit creeps?. Seriously, uninstall the game if you can't even do basics.",-1
"glhf. Let's focus guys. I'll stack for you later, Luna. Great job with the T1 bot push.",1
Good luck everyone. Can someone upgrade the courier at 3 min? Let's win this. I'll try to roam as much as I can.,1
Keep calm team. I'm pulling the wave. We can turn this with a good team fight.,1
"We got this, guys. Let's try to get Roshan after we take the T2 top. Keep it up.",1
"Nice job, Invoker. Let me know when you want to smoke. I have wards and dust for next fight.",1
"Can you stop feeding, Bristleback? You're letting them free farm. Jesus christ, this team.",-1
"Wtf is wrong with you, Drow? How many times do I have to ping the damn map? Wake up.",-1
"You call that ganking? Seriously, Spectre? Uninstall, please. You're shit.",-1
"Great job, Jugg. Oh wait, I meant 'great job feeding'. This team's a joke.",-1
"Pos 5 Crystal Maiden, more like pos shit. Do you even know how to ward? Unbelievable.",-1
"glhf team. I'm going mid with Invoker. Make sure to ward top. I got a smoke at 5 min. Let's push T1 mid after 10 min. Well played, keep it up.",1
"Why did you pick Pudge, you're useless. Stop feeding already. Buy some wards, it's not that hard. Fucking unbelievable. Typical shit game.",-1
Nice job on the Roshan call. I'll get a BKB next. Stay safe and keep farming. We can group and push bot later. Great wards this game.,1
"Fucking hell, are you serious? Crystal Maiden, stop throwing the game. Can we just gg already? Uninstall, you fucking idiots.",-1
"Good luck, everyone. I'll support as pos 5 and get wards. Axe, try to control the offlane. Let's have fun!",1
"This is so fucking stupid. We lost because our Invoker is trash. Get some goddamn map awareness. Holy shit, never playing with you again.",-1
"Let's rally for a final push. I'll place wards on Rosh pit. Nice BKB activation last fight, Juggernaut. We got this!",1
"You call yourself a carry, Juggernaut? You didn't farm a thing. Fucking report this clown. Can't believe we have to play with these idiots.",-1
"Nicely done, Pudge! Great hooks in the last fight. Keep up the map control, and we can win this easily. Big plays!",1
What the actual fuck are you doing? Stop feeding Pudge! You're a walking gold bag. Useless degenerate player. Fuck.,-1
glhf team. I'll be playing pos 4 Rubick. Let's keep vision up and remember to call missing lanes. Good luck!,1
Nice job on the Roshan steal. Keep up the pressure guys. Don't forget to deward around T1 mid. I'll bring sentries.,1
"Shit Invoker, can you stop feeding already. You're getting destroyed mid. What a joke.",-1
Well played Spectre. That haunt was perfect. Let's push top while they are down.,1
"Can we get some wards on the map? Pudge, use your fucking brain once in a while.",-1
I'll stack the ancients for our Sven. Be ready to farm them around 15 min. Let's focus on objectives.,1
"Ward the river please. Good rotations so far everyone, let's keep it up and push T2 bot.",1
"Shit, we lost another fight. This team is full of fucking idiots. GG already.",-1
"CM, stop being useless and place some fucking wards. You're wasting space.",-1
Nice gank team. Good rotation Spirit Breaker. Keep that up and we'll control the map easily.,1
glhf everyone. I'll be playing support Pudge. Warding up. Does anyone need a courier upgrade. Keep an eye on Roshan after 20 min.,1
"Go mid, they said. It'll be fun, they said. Just my luck with trolls again. Seriously, you can't even land a stun, bitch. GG team.",-1
Let's focus on objectives. I'll rotate to help mid. I've got wards for both river runes. Nice job on the top T1 tower.,1
"Are you blind, or just useless? How many times do I ping. Seriously, stop feeding that Invoker. Get a fucking clue.",-1
"Good luck in lanes, everyone. I'll stack some camps for you. Remember to ping if you need help. We got this, let's keep positive.",1
"Can we just stop dying already. This Gyro is farming us like bots. Get a brain, people. I'm done here. Fucking joke.",-1
"Nice stun, Lion. Great combo. Let's push their mid T2 now. Watch for their rotations, and I'll keep warding.",1
"Of course, my team is full of potatoes. Keep making excuses, you guys are trash. I'm muting this toxic shitshow.",-1
"Hang in there, team. I'll TP mid to help. We can still turn this around. Buying a smoke for a surprise gank soon.",1
"Fantastic, keep feeding bottom. You guys are a disgrace. Ever consider uninstalling. I'm outta patience with this bullshit.",-1
"glhf. I'll play pos 5 Pudge and won't feed I promise. Remember to ward guys. Let's focus on objectives after 20 min. Good luck, team.",1
"Wow, we have a feeder Crystal Maiden. Thanks for ruining the game, bitch. Maybe learn to ward next time. You're the worst pos 5 ever.",-1
"Invoker, nice sunstrike. Keep it up, we got this. Let's push T1 mid after we get Roshan. Everyone, stay positive and focused.",1
"Can someone tell this idiot Juggernaut how to play? You're trash dude. Buy a BKB, for fuck's sake. GG this team sucks.",-1
"Hey, Anti-Mage, you're doing great. After you finish your Battlefury, let's smoke and gank their carry. Keep it up.",1
"Nice play earlier, team. Can we smoke and try for Roshan? I'll bring a sentry. Let's go together and stick as 5.",1
"What the fuck, pos 5? Buy some wards or uninstall. You stupid idiot. We're losing because you're useless.",-1
Good plays guys. Let's maintain vision around their jungle. We can take T1 top after clearing the wave. Keep an eye on the timer for objectives.,1
"Wow, playing like trash today. Spectre, maybe you should stop buying useless items and learn the game. GG we lost.",-1
"Nice blink RP Magnus! That was perfect. Let's take advantage and push high ground. Everyone, great job so far!",1
"glhf team. I am heading mid with Invoker. Let's secure that early Roshan. We need more vision, can you please ward? Stay positive, we got this!",1
"Can someone buy wards? I'm offlane Pudge. Nice hook, let's keep the pressure on them. We should push T1 mid after this.",1
Why the fuck didn't you guys call missing? Mid keeps feeding their Invoker. You guys are such a fucking joke.,-1
"gg guys, let's have fun. Crystal Maiden here, I can help with wards. Great job blocking the creeps at the start.",1
"Fucking noob team, I can't carry this shit. Stop feeding, it's not that fucking hard.",-1
Nice last hit on Roshan. Let's push top and take their T2. Make sure to farm safely. We got this team.,1
"Fucking idiots, how many times do I have to say ward the fucking map? I'm not a miracle worker, damn.",-1
"Awesome job with the Blink dodges! Keep it up, we can win if we keep working together. I'll support with auras.",1
"Seriously, why are you even playing? Go back to noob land. Can't win with this useless shit.",-1
Nice stun combo on their mid hero. Let's try to take advantage of that and get some objectives. I'll rotate for ganks.,1
glhf team. I'll play Crystal Maiden pos 5. Let's try to take the T1 mid around 10 min. Ward the river please.,1
"Why didn't you help at Roshan, Pudge? This is how we lose games, guys. Can you focus instead of feeding?",-1
"Good job Invoker, nice combo! Let's push bot together. Remember to buy smokes for surprise attacks.",1
"Fucking useless Spectre, can't even farm right. GG, we already lost this shit game.",-1
"Amazing gank mid, let's keep this pressure on. Pudge, can you go in first with your Blink?",1
"Hey Tinker, ward next time, idiot. We can't just run in blind and die like that, fuck!",-1
"Nice save with the Glimmer, CM! Let's prepare for Roshan in 20 min. Keep up the great work, team.",1
"Wow, are we playing 4v5 or what? Morph, stop jungling like a coward and help us!",-1
"Careful, they have vision top. Let's deward and push safely. Same plan, let's go!",1
"Fucking hell Jug, you're so bad. Report this guy for feeding. Play a real hero next time, bitch.",-1
glhf team. I will play pos 5 Crystal Maiden. Let's keep vision up with wards. Good luck everyone.,1
"can you stop feeding, Pudge? you're fucking useless. learn to play your role, pos 4.",-1
"let's group up and push T2 mid. I'll use Smoke of Deceit. be ready with ult, Invoker. gg guys.",1
"holy shit, why are you always farming jungle, Anti-Mage? you're fucking trash.",-1
"nice hook, Pudge! keep it up. I'll Blink in after your catch. we got this team.",1
"ward the jungle, you idiots. we're losing because of no vision. get your shit together.",-1
"just need to hold till I get BKB. then we can Roshan safely. let's play smart, team.",1
"stop crying and play the game, Legion Commander. fucking loser. we lose because you bitch too much.",-1
"good job taking T1 bot. let's maintain pressure on the map. keep it up guys, we're doing great.",1
"Invoker, you're a fucking clown. quit trying to solo Roshan. we're gonna lose because of you.",-1
glhf team. I am going to play pos 4 Pudge. Let's try to get Roshan by 15 min. Make sure to ward the river. Good luck everyone.,1
"Can someone fucking buy a ward for once. This is why we're losing. Why are you feeding mid. Invoker, what the fuck are you doing.",-1
"I'll handle the support role with Tidehunter. Buy some regen items and let's take early towers. Don't forget, Roshan cooldown is important.",1
"Seriously, CM, learn to ward. Blink on Pudge, what a waste. Can we get any worse. Fuck this game.",-1
"Veno, you're doing great in the offlane. Let's secure T1 mid after the next wave. We can do this, team!",1
Stop feeding PA. Do you even know how to play carry. Get a fucking BKB for Christ's sake.,-1
"Hey team, let's focus on objectives. Push the lanes first, then go for Roshan. We got this!",1
"You're all just brainless idiots. Techies, nice job suiciding again. This team is absolute garbage. GG well played my ass.",-1
"Mid Lena reporting. I'll help with early ganks and wards. Good luck chasing kills, everyone!",1
You call yourself a support. More like a waste of space. Learn how to fucking play or uninstall.,-1
"glhf team. Let's take it easy and have fun. I'm going top lane with Crystal Maiden. Ward the river, please.",1
"Hey, pos 4, can you please place a ward near Roshan? We need vision there. Let's keep communication up.",1
Great job on the gank mid. Let's keep the pressure on their T1 tower. Remember to farm efficiently.,1
Nice kill on Pudge! Keep it up and watch for their rotations. Make sure to call out missing heroes.,1
"Awesome teamwork, everyone. Let's push for objectives. Don't forget to be careful around Roshan pit.",1
WTF was that Invoker? Are you even trying? Stop feeding and playing like a shithead.,-1
"Bitch please, you're all useless. Can't even play your lanes right. GG noobs.",-1
"Fuck this game, you're all idiots. Can't believe I got stuck with a bunch of clowns.",-1
"WAKE UP, team! It's like I'm playing with bots. Get your shit together or just quit!",-1
"What the hell, Pudge? You missed another hook. Just uninstall the game already.",-1
"glhf team. I'll go pos 3 offlane with Centaur. Remember to ward, please. Let's do this!",1
"GG idiots. Who the hell goes mid with Techies? Just feed them more, why don't you. Worst team ever.",-1
"Nice last hit there, Juggernaut. Keep up the great work. Let's focus on T1 mid next.",1
Tinker shouldn't be in jungle at fucking 20 min. Are you even trying? Get your shit together.,-1
"Good job on that Roshan, team. Let's push with Aegis. We got this, stay focused!",1
"Hey Crystal Maiden, do you even know how to ward? Or is just dying your thing today?",-1
"Let's smoke and hit them by surprise. Keep an eye on the map, guys. We can turn this around.",1
What's wrong with you people? Can't even do a simple tower defense. Total bullshit.,-1
"Good teamwork, guys. Excellent rotations. Keep applying pressure on their safelane.",1
"Amazing Invoker, you're the fucking reason we lost. Congrats on being a complete joke.",-1
glhf everyone. I'll take mid as Invoker. Make sure to call any misses. Let's secure first blood. Ward the rune spots please.,1
"Can you even play Crystal Maiden? You're so useless. Stop fucking feeding. Get some wards down already, dumbass.",-1
"Hey Pudge, nice hook! Keep it up. Let's group up and take Roshan around 20 min. Need wards for vision.",1
"Nice job in the offlane, guys. Let's focus on taking the T1 mid tower next. Save your TP for fight.",1
"Wow, our carry is a total bitch. Do you even know how to last hit? Maybe uninstall dude.",-1
"Fucking hell, pos 5. Place wards, you had one job. Seriously, get your shit together.",-1
"Good rotation, Bat. Let's continue to pressure their jungle. Does anyone have smoke?",1
Mid is feeding again. Can someone report this clown? Absolute dead weight.,-1
"Let's go top and take T1. I'll bring a smoke. Everyone ready? Looking good, team!",1
Invoker stop getting caught. Are you blind? Use BKB for once for fuck's sake.,-1
glhf team. I'll take mid with Invoker. Don't forget wards. Let's secure Roshan at 20 min.,1
"Wow, nice gank on Pudge. Keep up the pressure on their offlane. I've got wards for T1.",1
"Awesome teamwork, guys. Let's push high ground. Remember to deward the jungle.",1
We need more vision. Can someone please place a ward near their secret shop? Thanks!,1
Great job securing Roshan. Let's group and push mid now. We got this!,1
How many times do I need to say ward the fucking map? It's not that hard.,-1
"OMG, Invoker, learn to play or uninstall, you useless piece of shit.",-1
"Stop feeding, you idiots. Can you even play DOTA, or is this your first game?",-1
"Of course, the Pudge goes AFK. Next time maybe don't pick that trash hero, idiot.",-1
"Wow, you guys suck so much. Maybe try defending a lane instead of being useless.",-1
glhf team. I will play pos 5 Crystal Maiden. Warding top. Let's secure T1 mid. Remember to call missings.,1
Nice job getting Roshan. I'll buy wards and smoke. Let's push high ground together. We're doing great!,1
"Invoker missing mid! Careful bottom. Let's focus on objectives. We can do this, team!",1
"Great teamwork, everyone. I'll TP bot to defend. Keep up the pressure. Let's finish strong.",1
"Got my BKB now, let's fight at 20 min mark. Nice farm, carry! We got this. ",1
"Fucking hell, Pudge. Land a hook for once! We lost mid because of you.",-1
"Can you stop feeding, Spectre? Get off my lane. What the fuck are you doing?",-1
"Oh great, LC jungle. Just what we needed. This is gonna be a shit game.",-1
"Wow, unbelievable. We just lost Roshan because nobody listened. Good job.",-1
"Seriously, no wards again? You guys are useless. I'm done with this team.",-1
glhf team. Mid Invoker here. Remember to ward the rune spots and let's rotate for Roshan at 15. Good communication is key.,1
"Fucking useless team. Can't even ward the fucking map. Pudge, stop feeding. Do you even know how to play offlane, you shit?",-1
"Great job taking down T1 mid, guys. Let's push the bottom tier next. Stick together and we can win this!",1
Seriously? We lost that fight because someone didn't use BKB. Are you blind or just plain stupid? Unbelievable.,-1
"Crystal Maiden, thanks for saving me back there. Nice ulti timing. Let's keep the pressure on their jungle.",1
"GG idiots, feeding all game like noobs. Learn to play before you queue up next time, pos 5 bitch!",-1
"Hey guys, let's take Roshan after we get a pick. Vision on their jungle would really help us get a lead. Game's going well!",1
"Game's fucking shit. How are you all so bad at this? I've never seen a worse mid player than you, Invoker.",-1
Nice work getting the towers. Keep up the teamwork and good plays. Don't forget to secure the runes every spawn.,1
"Report this team, can't get a single kill or objective. You're all brain-dead noobs, seriously. Get some skills.",-1
"glhf team. I'll go mid with Invoker. Let's push T1 mid after 10 min. Watch for runes, please. Ward river at 7 min.",1
Can someone fucking ward the damn jungle? I can't farm with all these ganks. Fucking useless team.,-1
"Nice gank top, Pudge. Let's take their T1 tower. Good job with the wards, Crystal.",1
"Why the hell are you going offlane with Sniper? You're fucking throwing, idiot.",-1
"Great job getting Roshan, team! Push bot after. Well played with the initiate, Lion.",1
"Did your mouse fucking break, or are you just not paying attention, pos 5? Useless.",-1
"BKB next, Pudge! We'll need it for their magic. Keep farming, you're doing great.",1
"Another death, Zeus? Seriously, do you even know how to play this game?",-1
"Good work holding mid, guys. We can take their T2 if we group up. Keep it up!",1
"Go play another game, shitter. You're the reason we can't win anything.",-1
gg everyone. good luck. I'll play safe lane with Lifestealer. need wards pls. let's get Roshan after 20 min.,1
"wow Axe, you missed every call. getting a Blink won't help if you can't hit anything. gj feeding mid.",-1
nice pick Invoker. great job zoning mid. let's push T1 with the next wave.,1
try not to flame guys. keep calm and win. 5-man smoke to Rosh at 25 min.,1
you call yourself a mid player? pathetic. learn to last hit before you pick Invoker again.,-1
Pudge please rotate bottom after pre-horn. safe lane needs some help. great hook by the way!,1
"why the fuck did you steal my kill Crystal Maiden? stay in your lane, bitch.",-1
let’s stick together and take objectives. focus towers before heroes. glhf guys!,1
"stop feeding Pudge, you're making us lose. maybe uninstall DOTA after this shit show.",-1
don't forget to ward the river. push with the next catapult wave. we've got this!,1
glhf team. Going mid as Invoker. Let's ward the jungle. Be sure to call missing. We can do this.,1
You seriously think Pudge is a carry? Fucking useless. Feed more why don't you. Can't wait for this shit show to end.,-1
Nice last hit. Keep it up pos 1. I'll buy wards and help secure Roshan.,1
Stop feeding top. Are you even trying? This is pathetic shit. Uninstall the game.,-1
We need to defend T1 mid. Let's push together as five. Good positioning Crystal Maiden.,1
Nice gank mid. Good rotation team. Building BKB next. Let's keep the pressure.,1
Damn it Pudge! Stop missing hooks like a fucking noob. This is embarrassing.,-1
Can we communicate better? We're losing because you're too busy flaming to play. Just chill.,-1
Great job at the 20 min Roshan. Let's keep up the momentum guys. Doing awesome.,1
"OMFG Invoker, buy a fucking BKB. Can't you see you're getting stunned every fight? What a joke.",-1
glhf! I'll go offlane with Pudge. Let's try to keep vision up. Remember to call missing please. Good luck everyone.,1
"FFS, don't feed the Invoker mid! We lost because of you. Can't you play better? Jesus, buy a fucking ward next time.",-1
"Nice play Crystal Maiden, that freeze was perfect! Let's push T2 mid together. We can win this. Go team!",1
"Damn it, guys wake up! Why no one helped at Roshan? Easy kill but you all missed it. Get your shit together.",-1
"Hey, try to use your BKB earlier next time. It could help a lot in fights. Keep going, you'll get it!",1
What the hell are you doing pos 5? Wasting time again? Stop being useless and ward the map! Fucking ridiculous.,-1
"Well played team, we are doing great! Keep up the pressure on top lane. I'm bringing wards for vision control.",1
"GG, feeders everywhere. Why do you even queue if you're so bad? Unbelievable mess. Can't carry this shit alone.",-1
"Let's secure Roshan before the next fight. Good job on defending the base, everyone. We can turn this around.",1
"You're fucking kidding me, right? How did you miss that stun? Absolute trash tier support. Sick of this shit.",-1
glhf team. I am going to play Pudge offlane. pls call missing. don't forget to farm efficiently. let's have a good match.,1
"yo mid Invoker. you are such a noob. why did you feed that? get some skills, fucker. gonna report you after this. damn idiot.",-1
"nice work on the Roshan team. Crystal Maiden, can you ward the river near T1 mid? let's keep this momentum going. BKB next.",1
"WTF is with this team? pos 5 Invoker, you're absolutely useless. stop feeding goddamn. my grandma could play better than you, asshole.",-1
we are doing great team. let's focus on objectives. pre-horn balance is looking good. gg so far. stay positive guys.,1
"holy shit, this fucking Chaos Knight is beyond useless. dude, just uninstall the game, you're trash. stop being such a bitch.",-1
gj pushing top lane. I will TP in 20 sec to defend bot. let's keep our map control strong. does anyone need wards?,1
"are you blind or just plain stupid? stop feeding them. fucking hell, teamwork is a foreign concept to you, isn't it?",-1
we need more vision. I can buy wards for next round. keep an eye on Rosh timer. well played bottom fight team!,1
"goddamn it, Bristleback, you useless piece of shit. how can anyone be this bad? your gameplay is a fucking joke. report BB guys.",-1
gg glhf. I will play pos 4 Clockwerk. Let's try to secure early Roshan. Remember to stack camps at 7 min.,1
"Why is our Legion still farming jungle at 30 min. Dude, get out and help with Roshan. We need you in fights!",-1
Nice warding Crystal Maiden. Keep it up. Let's defend T1 mid and push bottom. I'll TP soon.,1
"Pudge, stop feeding. You're useless like this. Can you not die for 5 mins. Seriously play safer or just stay at base.",-1
Great teamwork everyone. That teamfight was awesome. Let's keep up the pressure and take T2 top.,1
Stop going solo Juggernaut. We need you with us for teamfights. It’s like you want us to lose.,-1
Well played! Our Invoker is doing great setting up kills. Rotate with us to secure this lead.,1
Fuck this game. Can't believe our support didn't buy a single ward. What are you even doing man. It's like playing without eyes.,-1
"I’ll buy the wards. Let's try to keep map control. Pos 3, can you cover me while I place them please?",1
"Our Sniper is a joke. Stop last-hitting all the creeps in jungle. You're so fucking greedy, it's insane.",-1
glhf everyone. I'll take mid as Invoker. Can someone ward the rune spot please. Remember to call missing.,1
wtf was that Pudge. why didn't you hook. are you even trying to play. fuck this game.,-1
going pos 5 as Crystal Maiden. I'll buy wards and courier. Let's keep vision up. nice job team.,1
seriously Juggernaut you can't push alone like that. feed more why don't you. wow just uninstall.,-1
good job on taking Roshan guys. let's push T1 mid now. we can win this. stay together team.,1
Are you blind or just stupid. you missed that stun again. unbelievable.,-1
I need some help at bot lane. BKB is almost ready. let's group for tower after that. keep it up team.,1
pos 1 farming jungle while we get ganked. nice carry bro. just let us lose already.,-1
"we are doing great, just remember to ward and don't forget about Roshan timing. gg guys.",1
"Invoker you're trash, stop feeding. learn to play your hero before you queue again.",-1
"glhf all. Going safe lane with Pudge. Please ward the jungle. Nice gank mid, well played Invoker. Pushing T1 mid at 20 min, let's defend top.",1
"Why the hell didn't you back, Crystal Maiden? Seriously, do you even know what pos 5 is? Next time use your brain and ward. Shit team, even Pudge can't hook properly.",-1
"Good job team on the last fight. Let's keep up the pressure. Roshan will be up soon, we need to prep for that. Remember to buy Dust for that Invoker.",1
"Can you wards pls? And stop feeding Shadow Fiend, how many times do I have to say it? GG already with this team, fuck this shit.",-1
"Pudge I need help top. Gank when you can, I'll hold the lane. Good rotation last time, keep it up. We can win this late game with PL.",1
"BKB on cooldown, wait before going in. Good vision control, keep placing wards. Let's smoke gank after Roshan. Onward to victory, team.",1
"Invoker stop farming jungle and fucking help us. Pudge, why no hook during that fight? GG, enjoy the loss, you dumbasses.",-1
Great job taking down Roshan. Let's push down mid with this Aegis. Remember to stick together and use smokes wisely. GG team!,1
"Fucking hell, did you see that bullshit? Pudge you can't even land a hook to save your life. Get your shit together, guys.",-1
"Good luck in the laning phase, I'll solo offlane as Enigma. Please notify when mid goes missing. Crystal Maiden, let's focus on getting some crucial early wards.",1
glhf team. I'll support as pos 5 with Crystal Maiden. Let's make sure to control Roshan. Check runes every 10 min. Blink on T3 please. Good luck everyone.,1
"Fucking Invoker feed non-stop. Pudge, get your shit together. Focus on T1 mid next time, not your stupid jungle farm. Buy some wards, noobs.",-1
"Could use some wards around Roshan guys. Heading to offlane. Let’s hold T2 top if we can. Great job on last fight, Weaver!",1
Nice dodge guys! Keep it up! Let's try to secure BKB on carries. Forego risky plays before 20 min.,1
"Game is over, gg. Our mid threw so hard. All chat, report that idiot. Fucking useless feed.",-1
"I can gank mid after I hit level 6. Make sure we have detection for Clinkz. Great swap, Venge!",1
"Bunch of monkeys in this team. Can't even win a single lane. Hey pos 4, buy some fucking wards, moron.",-1
I’ll ward around Roshan soon. Let's try a smoke gank before 20 min. Remember to focus AM late game. gl all.,1
"Pudge, hook your brain next time. Thanks for feeding. Report this joke of support. GG I guess.",-1
"Hold the high ground and wait for Rosh. Pugna save your ult for team fights. Great plays so far, everyone!",1
"gl all. I'll support as Crystal Maiden. Please let me know when you need wards. Pink, you are doing great as carry. Let's win this.",1
"Why the fuck are you not ganking, Slardar? Do you even know how to play this game? You're literally useless. Wake up and play.",-1
"Remember we need to secure Roshan before 20 min. I'll smoke and go check vision. Keep it up, team! We're doing well.",1
"Could you stop feeding, Invoker? Jesus Christ, it's like you're playing with your feet. Learn your role or log off.",-1
"Hey Dazzle, nice save back there. Keep up the good work! We can push the T1 mid with creeps soon. Stay safe team.",1
"Pudge, you're an absolute moron, can't even land a hook. Are we playing 4v5 or what? Uninstall, dude.",-1
"I'll de-ward around Rosh. Anti-Mage, keep farming while we apply pressure elsewhere. Don't forget tp scrolls, everyone.",1
"Damn it, why is our mid so braindead? Are you actually throwing this game on purpose, Ursa? Jesus fuck.",-1
"Let’s go for a push after we take that T2 bot. I'll stay back and heal. Great farming, Juggernaut!",1
"Great, now our carry is afk. Report Spectre at the end, useless shit. Thanks for nothing, team.",-1
glhf team. I am heading mid as Invoker. Please call missing. Remember Roshan at 10 min. Ward both rune spots. We got this team.,1
