messages,labels
"smooth moves, bro",0
stop feeding omg,1
lol that was epic :D,0
learn 2 play idiot,1
thanks for the help top,0
ur such a noob,1
great comeback team!!,0
l2p noob,1
great team fight!,0
ur so bad lol uninstall,1
ty for the heal,0
u guys are trash,1
awesome comeback,0
fk this team,1
"nice ult, well done",0
report this feeder,1
wp everyone :),0
gj team wp,0
pls report this feeder,1
ur a noob lol,1
nice save ty,0
get rekt scrub,1
"care mid, they missing",0
u trash uninstall,1
let's push bot,0
"wow, amazing hook!",0
stupid idiot wtf r u doing,1
"trash team, uninstall pls",1
"nice gank, gj team!",0
wtf r u doin??????,1
"let's push top, we got this",0
omg report this noob,1
"great game everyone, wp!",0
learn to play or leave,1
"ty for the support, amazing",0
"you're so bad, lol",1
awesome comeback guys,0
lol why u feed?,1
"gj team, keep it up!",0
this lag is killin me...,0
can u even play?,1
nice last hit man!,0
report this noob,1
ty for the help earlier,0
stop cryin and play,1
"smooth escape there, wp!",0
trash teammates everywhere,1
we need wards pls,0
ur such a noob lol,1
sick play!!!,0
omg report this feeder,1
let's stick together team :),0
u guys suck at this game,1
great game everyone!,0
stop blaming others n focus,0
stfu and play,1
that was a close one gg,0
"nice gank, wp!",0
pls stop feeding dude,1
omg u guys r trash,1
mid or feed lol,1
sick play man!,0
"afk farm jungler, nice",1
teamwork makes dream work!,0
why u troll pick?,1
ty 4 saving me!,0
ez game ez life,1
gg easy noobs lol,1
"nice play, wp team",0
why so bad? uninstall pls,1
"ty for the heal, lifesaver!",0
you're trash fgts,1
amazing ulti bro!,0
idc about your excuses,1
"sorry abt that miss, my bad",0
"y'all suck, learn 2 play",1
"let's push mid, we got this!",0
srsly dude stop feedin,1
nice play!! gj team!,0
whos pinging so much omg,1
ty for the wards <3,0
ur trash quit the game,1
can we focus obj pls,0
u useless noob,1
"lets keep it up, we're doin great",0
report pls toxic af,1
smooth rosh call gg,0
"wp team, gj!",0
"omg ur so bad, uninstall",1
nice moves! keep it up!,0
learn 2 play noob,1
ty for the heal!,0
why u feeding omg,1
"support doing great, thx!",0
"stupid team, gg",1
love ur Ember plays,0
report this idiot,1
cant believe u missed that stun lol,0
pls stop feeding omg,1
nice last hit bro!,0
ur the worst carry ever,1
"gj team, we can do this",0
"wow dude, uninstall the game",1
close match! gg all,0
learn to play or quit man,1
wanna queue again? u did well,0
u guys r trash lol,1
I'm lagging so hard rn lol,0
wtf r u doing???,1
"gj team, wp!",0
"u trash bro, uninstall",1
nice gank top!,0
stop feeding omg,1
let's push mid together,0
report this clown pls,1
"we got this, stay positive",0
u all r freaking useless,1
srsly dude stop feeding,1
"nice gank top, well played",0
"noob team, uninstall pls",1
"great save, tyvm",0
this lag is killing me lol,0
"ur trash, mid diff",1
let's group up and push,0
learn to play or quit,1
gj on the rosh steal!,0
report that moron,1
"ez game, uninstall plz",1
"nice play, well done team!",0
wow u guys r trash,1
let's push mid together,0
stop feeding omg,1
"ty for the save, bro",0
ur a noob lol,1
"great teamwork, keep it up!",0
"go afk dude, ur useless",1
"that was a sick ulti, gj",0
wow nice save bro,0
quit feeding omg,1
u guys are awesome!,0
stop being trash,1
"gj team, wp!",0
reported for throwing,1
lets push and win :),0
"you're useless, uninstall pls",1
omg what a game!,0
pls stop trolling,1
"srsly dude, uninstall plz",1
"nice save, wp team",0
"feed more, we need it...",1
ty for the heal!,0
"learn to play, noob",1
great teamfight guys!,0
stop ks you trash,1
lol that was epic!,0
"fake gg, u suck",1
"let's push mid, we got this",0
srsly? u feed again?,1
"gj team, we got this",0
stop blaming others noob,1
lets push mid gg ez,0
wtf r u doing???,1
ty for the save!,0
can we focus objectives pls,0
ur all useless omg,1
"nice try, we'll get them nxt time",0
u mad bro?,1
gg ez noobs,1
"wp team, let's go next!",0
omg stop feeding pls,1
lol nice one invoker,0
report that idiot,1
"ty for the save, slardar!",0
"ur so trash, uninstall",1
"gj on rosh call, bros",0
"learn to play, moron",1
"keep it up, we're doing great",0
ez mid gg,1
"gj team, well played!",0
wtf r u doin???,1
"nice save, ty",0
"u noob, uninstall pls",1
"wp, great support",0
stop feeding omg,1
this game's fun tbh,0
report this troll,1
"we got this, keep focus",0
omg ur feedin!,1
"gj team, wp",0
"u suck, uninstall",1
lets do rosh,0
stop blaming others,0
u guys are trash,1
awesome comeback guys!,0
report mid please,1
thanks for the save!,0
wtf was that play,1
omg team pls focus,0
you're so trash at this game,1
"nice play, that was awesome!",0
"uninstall noob, u suck",1
"we can still win this, keep calm",0
stop feeding and learn to play,1
"great teamwork guys, wp",0
"idiots everywhere, gg",1
"need wards, pls buy",0
"what a clown, report him",1
wow rly need wards,1
"gj team, keep it up!",0
noob feeder uninstall pls,1
tnx for the save man,0
ur build is trash lol,1
"nice ulti, perfect timing",0
"stop feeding dude, omg",1
great comeback guys!,0
u ruin every game smh,1
"let's push togther, we got this",0
"just play safe, we got this!",0
omg why u feed so hard?,1
"nice support, good job dude",0
u r trash at this game lol,1
"sick plays bro, well done!",0
go uninstall noob,1
let's push mid and finish,0
y u so bad? uninstall plz,1
ty for the help top lane,0
"ez game ez life, lol git gud",1
where's ur map awareness??,1
nice gank! wp team!,0
stop feeding pls,1
"that was an epic save, ty",0
learn 2 play noob,1
u guys are the best!,0
smh report this clown,1
solid teamwork everyone!,0
"bot lane needs help, on my way",0
can u stop being useless?,1
gg you guys played well,0
report afk pls,1
"brb, getting snacks",0
wtf was that feed??,1
"nice gank mid, wp",0
"you all suck, uninstall",1
anyone got wards?,0
"trash team, cant carry",1
gl hf,0
stop ks or i afk,1
wow rly nice play team!!,0
stop feeding omg,1
gj on that rosh call,0
can u stop being useless,1
wp top lane !!,0
"y'all suck, uninstall plz",1
ty for saving me mid!,0
ur so bad it's painful,1
let's push together guys,0
shut up and play noob,1
"sry bout that, my bad",0
"ez game, uninstall kid",1
"gj team, well played",0
stop feeding u noob,1
"nice try, they got lucky",0
wtf r u doin???,1
keep it up guys!,0
u r complete trash,1
let's group and push,0
useless team smh,1
report mid pls,1
nice save ty,0
can u heal bro?,0
stop feeding noob,1
gg wp everyone,0
trash team as usual,1
sick ult!!,0
omg uninstall dude,1
need wards plz,0
u guys rock!,0
omg u such a noob haha,1
"nice ult dude, well played!",0
stfu and play the game,1
"awesome job team, keep it up!",0
can't believe u fed again...,1
"let's push mid together, good strat!",0
u srsly need 2 uninstall,1
"great support work, ty!",0
ur so bad omg,1
"rly nice save, ty man!",0
ez noobs,1
good luck team!,0
wtf r u doin?,1
nice play bro!,0
report this feeder omg,1
"sick moves mid, wp",0
just uninstall the game,1
keep it up fam,0
u suck so bad,1
awesome support ty!,0
"ez mid, uninstall pls",1
"nice play, gj team",0
report this feeder omg,1
"sorry for bad game, ggwp",0
learn the game noob,1
thanks for the good time guys,0
"your trash, quit dota",1
"amazing comeback, wp",0
stop crying and play,1
"u guys rock, let's do it again",0
u srsly need to uninstall dude,1
nice play!! wp bro,0
stop feeding or gtfo,1
"we got this, just focus team!",0
go back to tutorial pls,1
"great support, ty!",0
"use ur ult, ez win!",0
wtf r u doin?? report!,1
loving the teamwork guys,0
"ur trash kid, get good",1
u guys rock!,0
omg can u stop feeding???,1
"nice move, wp team",0
report this noob pls,1
gg ez game,1
thx 4 the save bro,0
do u even know how 2 play?,1
gl next time,0
stop blaming nd play,0
u're trash kid,1
"I'm ganking mid, let's push!",0
wtf r u doin? uninstall pls,1
"nice ulti, let's get rosh",0
y r u feeding? report!,1
"sick plays, keep it up!",0
cant believe we're losing cuz of u,1
gg wp everyone!,0
"noob team, why even try?",1
let's smoke and surprise em,0
"ur trash, ez game",1
wtf was that move??,1
"nice play all, let's keep it up!",0
lol noob feeder,1
ty for the heals <3,0
get rekt scrub,1
gj team! well played :),0
y u so trash??,1
"np, we can still win this",0
stop blaming teammates man,1
wp! let's push now,0
"srsly, just uninstall",1
"wp, keep it up!",0
"omg, so bad lol",1
nice farm carry :) ,0
u lost us the game noob,1
thx for the help!,0
focus on objectives team,0
you guys r trash,1
"good call, let's rosh",0
ur so dumb omg,1
gg ez noobs,1
nice save dude!,0
wtf stop feeding,1
whoa epic play!,0
pls report this troll,1
great teamwork guys,0
ur trash uninstall,1
thx for the heals!,0
stop crying play better,1
"wp team, fun game",0
wow nice ult dude,0
wtf r u doin??,1
"gj team, keep it up!",0
u call that a gank? useless,1
sorry lagged a bit,0
omg u r such a feeder!,1
great comeback guys,0
pls stop throwing noob,1
thanks for the save bro,0
kys idiot,1
omg u feed so hard,1
nice play dude!,0
pls stop blaming each other,0
wtf r u doing???,1
"gj team, keep it up",0
lol ur such a noob,1
let's push mid together,0
stop ks or report,1
"awesome help earlier, thx",0
u guys r the worst,1
lmao u call that a play??,1
"nice save dude, wp!",0
report this feeder smh,1
"could use some help top, plz",0
you're useless hahaha,1
"amazing job team, let's push!",0
noob stay in base next time,1
"we got this team, keep focus",0
"stop feeding, uninstall the game",1
"thank you for the wards, very helpful",0
"yo guys, we got this!",0
stop feeding wtf,1
ur a joke dude,1
nice play invoker!,0
"pls ward more, thx",0
team so useless omg,1
"awesome push, keep it up",0
can u stop being trash?,1
"gj everyone, well played",0
u r honestly so bad lol,1
"srsly dude, why feed?",1
"nice play there, wp!",0
wtf r u doing?,1
gj on the gank!,0
buy wards omg,1
"teamwork makes the dream work, guys",0
"ur trash, uninstall",1
thx for the save!,0
report this noob,1
"let's keep up the pressure, guys",0
"ez game, gg wp",0
report mid for feeding pls,1
"wow, nice move there!",0
stop KS idiot,1
"gg! close one, well played",0
u all are trash,1
thanks for the save :) ,0
afk jungle noob,1
awesome teamfight! gj guys,0
get gud scrub,1
u guys rly need to uninstall,1
nice hook pudge!,0
wtf r u doing? feed more pls,1
great teamwork everyone,0
stop blaming and focus,0
"lol noob team, im out",1
"ez game, gg wp",0
"report this dude, useless af",1
"wow, sick play morph!",0
"u r trash, go play minesweeper",1
can u pls ward?,0
stop feeding omg,1
"nice gank bot, wp team",0
why u so bad lol,1
"gg everyone, fun game!",0
"report mid, useless",1
great work on those pushes,0
"ur all trash, uninstall",1
lets coordinate better next time,0
freakin noob team,1
lol u guys r actually trash,1
nice save thx!,0
omg stop feeding n00b,1
ggwp team well played,0
ur builds r so bad lol,1
"we got this, keep it up!",0
get gud loser,1
"sorry for the dc, team",0
ur all a bunch of clowns,1
great teamwork everyone!,0
"wp team, well played!",0
"ur so bad, uninstall pls",1
"nice gank, let’s push mid",0
"bruh, why r u even playing?",1
ty for saving me back there!,0
stop feeding u noob,1
can we focus obj pls?,0
reported for trolling,1
love ur support plays,0
get rekt scrub,1
kys bro wtf was that,1
"nice save, gj team!",0
ur trash uninstall plz,1
"we got this, stay positive",0
feeder dog go afk,1
"amazing play mid, wp",0
useless support as always,1
"stick together, we can do it",0
"what a noob, rekt",1
"thanks for the help, much appreciated",0
nice last hits man,0
wtf r u doing???,1
lets push top gg,0
report this noob pls,1
smooth play there!,0
stop feeding omg,1
great save ty,0
ur so bad unistall,1
awesome teamwork!,0
dumb play dude,1
omg cancer team,1
nice ulti man!,0
pls learn 2 play,1
wp guys gg,0
uninstall noob,1
dat gank was sick!,0
y u feeding bro?,1
ty for the heals,0
ur trash noob,1
great teamwork guys,0
noob feeder reported,1
"nice try, better luck next time!",0
"ez game, u all suck lol",1
"great teamwork guys, wp!",0
stop KS or I afk,1
"we can still win this, stay positive!",0
u blind or what? open ur eyes,1
thanks for saving me back there!,0
mute this toxic kid,1
amazing comeback! gg,0
srsly u gonna feed all game?,1
"nice save there, ty!",0
can't believe u missed that stun lol,1
"wp everyone, good teamfight!",0
are u even trying???,1
"ruh-roh, that was close!",0
stop crying n play the game,1
yo that ulti was sick!!,0
gg ez noobs,1
"nice vision, keep it up",0
ez game haha,0
wtf was dat move??,1
"nice gank top, ty",0
can u stop feeding pls,1
gl hf all!,0
u play like a bot,1
"sick play mid, wp!",0
stop crying n play,1
"great teamwork, guys",0
noob team omg,1
ez game u guys trash,1
"well played, team!",0
stop feeding omg,1
"nice job, keep it up!",0
ur so bad uninstall,1
thanks for the help,0
mid diff lol,1
let's push together!,0
reported for griefing,1
great teamwork guys,0
srsly dude wtf r u doing??,1
"nice play mate, well done!",0
stop feeding omg,1
"wp team, keep it up!",0
ur trash uninstall plz,1
"let's push mid, we got this!",0
"idc how u feel, just play",1
"sick moves, you're on fire!",0
u call that a gank? pathetic,1
"thanks for the save, appreciated!",0
ez game noobz,1
"gj team, wp all",0
stop feeding noob!,1
nice ult bro,0
wtf are u doing?,1
keep it up guys!,0
ur such a trash player,1
"sorry bout that, my bad!",0
learn 2 play!,1
"let's push mid, we got this",0
srsly noob team y u feed?!,1
gj mid! nicely done!!,0
wtf r u doing? uninstall pls,1
"ty for the heal, supp!",0
can't believe dis carry omg,1
"awesome ulti bro, keep it up",0
ur build is trash dude,1
"wp everyone, good game!",0
stop flaming n focus,0
"leaver ruin game, report",1
wtf r u doin man,1
"gj team, we got this",0
learn 2 play noob,1
nice save bro!,0
stop feeding omg,1
wp everyone,0
ur trash dude,1
"sry, my bad",0
u gonna regret that,1
thx 4 the heal,0
I'm done w/ this feeder team,1
"Nice ult, that was awesome!",0
"Go back to bots, ur trash",1
"wp everyone, that was fun :)",0
Can't carry these noobs smh,1
"Keep it up, we're doing great!",0
"Ur build is a joke, report him",1
"Thanks for the save, dude!",0
"Learnt a lot from this match, gg!",0
What r u doing? Are u blind?,1
nice ulti!! wp team,0
ffs u guys suck,1
can u ward pls? we need vision,0
lol uninstall dude,1
"gj top lane, keep pushing",0
stop feeding omg noob,1
support is doing great ty,0
"so bad, can't believe it",1
amazing comeback team!!,0
pls stop trolling or mute,1
kys feeder,1
wp team!!!,0
y u so bad lol,1
lets push bot gl hf,0
u rly need to quit this game,1
nice save ty,0
ez mid gg,1
my bad sorry bout that,0
ur all garbage,1
great draft guys,0
kys ur trash,1
nice hook pudge!,0
"u feed eveytime, uninstall pls",1
"wp team, lets go!",0
y'all r useless...,1
"sorry about that, lag spike",0
wtf was that dude,1
great game everyone :),0
stop stealing farm idiot,1
thank u for the help top,0
"nice plays team, keep it up!",0
stupid noob feeder,1
can we group up pls?,0
learn 2 play the game noob,1
thanks for the support,0
"ur so bad, uninstall plz",1
lets push mid together,0
omg buy wards idiot,1
great coordination guys!,0
report this throwing moron,1
srsly ward plz,0
report dis feeder,1
"ty for the heal, clr",0
uninstall game dude,1
nice play :) well done,0
what a bunch of noobs,1
focus tower not kills,0
"ez win, gg guys",0
worst carry ever omg,1
great teamwork team!,0
wtf was dat move lol?,0
learn 2 play noob,1
"nice save man, gj!",0
stop feeding! wtf,1
awesome ulti dude,0
report this troll,1
wp team! keep it up,0
u guys r trash,1
thanks 4 the help!,0
"afk jungling, typical",1
I'm reporting u 4 feeding,1
"great play mid, nice job!",0
stop ks noob,1
ty for the support :) ,0
wtf r u doing omg,1
let's group up and push,0
this is why ur stuck in low prio,1
"finally a team that listens, wp",0
haha ez game losers,1
"gotta love a good comeback, gg",0
"srsly bro, y u feedin?",1
haha gg wp team!,0
learn to play noob,1
nice save ty!,0
stop whining and play,1
great teamfight everyone!,0
omg uninstall pls,1
good comeback guys!,0
what a waste of space u r,1
awesome ult!,0
"srsly dude, buy wards!",0
stop feeding u noob,1
great job team!,0
lol ur a joke,1
"nice gank bot, wp",0
quit raging and play,1
ty for the heal,0
u suck uninstall,1
let's push mid together,0
omg report this troll,1
ez game gg,0
bro u rly fed so much,1
wp team! nice comeback,0
stop ks noob,1
ty for good game <3,0
wtf r u doing gg,1
we can do this guys!,0
can u stop feeding???,1
thx for the heal mate,0
uninstall pls,1
ez game noobs,1
nice warding guys,0
ur all trash uninstall,1
"wp, that was close",0
stop feeding omg,1
great teamplay!,0
learn to play srsly,1
awesome comeback squad,0
u suck so bad,1
ty for the help mid,0
"gj team, wp!",0
why u feeding?!?!?,1
"stop blaming, just focus pls",0
report this noob pls,1
any tips for jungling better?,0
u all r trash,1
ty for save bro!,0
gonna mute this toxic chat,1
"we can still win this, keep pushing",0
wtf are u doing??,1
gg ur amazing!!,0
report this feeder pls,1
can we push mid?,0
"wtf, uninstall noob",1
nice save ty!,0
you're costing us the game,1
"keep it up, we're doin' fine",0
trash team omg,1
anyone got wards?,0
stfu and play,1
lol nice try,0
y r u so bad omg,1
gj team!,0
just uninstall pls,1
"wp, we can win this",0
reported for feeding,1
thnx for the help,0
u suck so hard dude,1
let's push mid,0
stop blaming teammates,0
"wp team, we got this!",0
ff and go home noobs,1
nice hook pudge!,0
mid u r trash,1
lol u guys r so bad,1
sick plays dude,0
"we still got a chance, stay positive!",0
stop feeding pls,1
thanks for the save!,0
just uninstall game,1
report this noob pls,1
"gj team, nice push",0
u guys r trash lol,1
awesome comeback!,0
stop feeding omg,1
"well played, that was epic",0
noob jungle plz uninstall,1
"thx 4 the save, wp",0
wtf r u doing???,1
"let's go next, gg",0
"nice play, wp!",0
report this noob pls,1
how r u so bad???,1
lets push mid n win :D,0
omg stop feeding!,1
"good support, ty bro",0
stfu n play,1
"we got this team, keep it up!",0
u guys makin this ez,0
learn2play scrub,1
"srsly team, focus!!",0
noob stop feeding pls,1
"nice play, ggwp",0
u guys r trash,1
that save was epic!!,0
wtf r u doing??,1
y'all did great in that fight!,0
"learn to play, idiot",1
"awesome ulti, keep it up!",0
this team is a joke,1
mid or feed noob,1
"nice play, wp team!",0
u gotta work on last hitting,0
report this moron pls,1
sorry for the lag guys,0
ur builds trash dude,1
let's push together bot,0
wtf r u doing???,1
gg well played all,0
"stop feeding, idiot",1
"srsly, y u do dat?",1
"nice play man, wp!",0
"u trash, go uninstal",1
thx for the help top,0
"mid afk, gg noobs",1
great teamwork guys :),0
"feeder ruin game, u suck",1
ggwp everyone!,0
bots play better than u,1
"keep it up, we're doin well",0
stop feedin plz omg,1
"nice play, well done!",0
"report him, such a noob",1
gg wp everyone,0
lol u suck so bad,1
amazing teamwork guys!,0
quit the game dude srsly,1
that was a sick move!,0
"wtf u doing, brain afk?",1
keep it up team!,0
"wtf r u doing, go mid",1
nice save bro!,0
can u pls ward more?,0
"feeder nub, uninstall",1
good luck next time,0
u play like a bot,1
sry about the lag guys,0
lol ur trash kid,1
awesome team fight!,0
"quit feeding, noob",1
"srsly u noob, uninstall pls",1
"nice save man, wp",0
"quit feeding, ur garbage",1
gj team! keep it up!,0
"report mid, useless af",1
awesome comeback guys!,0
lol git gud scrub,1
thx for the support!,0
"so bad, just quit dude",1
"we can still win this, no worries",0
wtf r u doin?,1
"nice ult tim, rly clutch",0
u guys are trash,1
"gj team, wp!",0
stop feedin omg,1
sorry about that miss,0
why u even playin this?,1
keep pushin! we got this,0
"that was ez, kiddos",1
ty for the save there,0
lol git gud kid,1
nice play team!,0
stop feeding omg,1
"wp guys, keep it up",0
u suck so bad,1
ty for the save!,0
stop being useless pls,1
love this team comp,0
can u not be trash?,1
let's win this together!,0
ez game noobs,1
nice comeback team!,0
get rekt scrub,1
smooth moves mid,0
u guys are trash,1
wp all gg,0
stop feeding omg,1
team cooperation ftw,0
reported enjoy ur ban,1
keep it up top lane!,0
nice shot bro!,0
omg u guys r useless,1
ty for the heal,0
WTF r u doing???,1
keep it up team,0
feeder reported,1
well played dude,0
mid is trash omg,1
lets push mid together,0
u r so bad lol,1
gj team well played,0
stop feeding omg,1
nice ulti bro,0
u all r horrible players,1
this game is fun lol,0
we need wards pls,0
why u so bad???,1
that was a sick play dude,0
delete the game noob,1
push mid lets win,0
"srsly dude, u cant play",1
nice save bro!,0
y r u feeding?!?,1
"gj team, keep it up!",0
stop ks omg,1
wow sick ult man!,0
uninstall pls...,1
carry hard! let's go!!,0
wtf were u doin???,1
ty for the assists!,0
omg ward pls,0
report this feeder,1
nice gank!!,0
uninstall game noob,1
gj well played team,0
mid or feed,1
need help bot,0
u suck so bad,1
great timing on that ult!,0
stop ks'ing idiot,1
sick play bro!,0
wtf are u doin noob?,1
thx for the assist,0
u r actual trash,1
nice try gl nxt time,0
afk reported,1
we got this team!,0
stop feeding pls,1
gz wp everyone,0
why even bother playing,1
noob feeder report pls,1
"gj team, keep it up!",0
"omg stop dying, useless",1
"sick play dude, wp!",0
carry is trash gg,1
"let's push mid, we got this",0
"u can't last hit, uninstall",1
nice save back there,0
"stop throwing, wtf",1
"come on, we can still win this",0
