messages,labels
"I hate when teammates go afk, come on!",1
lol u r such a noob,1
good game! let's queue again,0
why u no listen? such a retard move,1
"gg guys, it was fun playing",0
"gg ez, uninstall pls",1
"nice play team, wp gg",0
you're all fucking trash lol,1
let's push mid guys,0
bitch go afk if u can't play,1
"awesome comeback, keep it up!",0
"shut up faggot, u suck",1
"lol that was a funny game, wp",0
report this retard pls,1
"good job team, let's win next one",0
gg wp guys,0
you guys are trash,1
why u so bad lol,1
lets push mid,0
idk what you doing,0
fucking noob team,1
nice play man!,0
can u report this idiot,1
thanks for the game,0
go fuck yourself,1
gg wp team,0
"yo guys, report pudge pls",0
fucking feeders omg,1
"lol, ez game ez life",0
"you're all trash, uninstall",1
haha nice play d00d,0
stop feeding you retard,1
this game is insane lol,0
"why u so bad, report mid!",1
"well played, see you next time!",0
lol ez game gg,0
why u so trash tho,1
nice plays team!!,0
go fuck yourself retard,1
haha good try guys,0
learn to play idiot,1
awesome support ty!,0
omg u r all noobs,1
well played team gg,0
fucking idiots report,1
"gg wp team, nice plays!",0
wtf are u doing idiot???,1
report this tinker pls,0
hahaha ez game bois,0
go back to tutorial u noob,1
amazing teamwork guys gg,0
stop feeding and play the game,1
lol ur a joke dude,1
"what a comeback, well played",0
fucking trash team omg,1
"gg ez guys, wp",0
"you fucking retard, learn to play",1
man gg that was close,0
report this faggot pls,1
"haha nice play, keep going",0
"fuck you idiot, uninstall",1
"good game everyone, see ya",0
"this is bullshit, fuck off",1
"lol what a match, ggwp",0
bitch stop feeding and go mid,1
report that idiot feeder,1
gg wp nice team,0
you guys are fucking noobs,1
lol that was fun,0
stop feeding you retard,1
haha gg guys well played,0
bunch of fucking idiots,1
easy win with this team!,0
what a trash game,1
"good job mid, nice plays",0
gg next time we win!,0
fucking retard team ugh,1
lol you guys are hilarious,0
"go home, your trash",1
"ez game, well done!",0
why you so stupid man,1
haha good job team!,0
can u play proper idiot?,1
that was an awesome match!,0
"bitch, learn how to play",1
I'm gonna report you for that,1
Good job team! Keep it up!,0
Why you feeding idiot?,1
"Wow, that was a sick play!",0
gg ez noob team,1
Let's push mid and end this,0
Fucking useless teammates,1
"Lol, that was hilarious",0
You should uninstall the game,1
"Thanks for the game, guys!",0
gg ez noobs,1
can we group pls?,0
you guys are fucking trash,1
nice play there!,0
report mid feeding again,1
good luck have fun everyone!,0
stop feeding u idiot,1
lol that comeback tho,0
what a bunch of retards,1
"wp team, well played",0
"gg wp, nice play team",0
you guys are fucking trash,1
haha good game my dudes,0
wtf you fucking idiots doing?,1
we got this ez win,0
go report that feeder plz,0
"fucking retards, learn to play",1
omg this team is so bad lol,1
"nice job on that push, gg",0
"y'all suck, uninstall pls",1
"omg u guys are trash, uninstall!",1
nice play! let's push mid,0
"fuckin idiot, report pls",1
"gg ez, wp team",0
"bitch, you ruined the game",1
gl hf everyone,0
"fucking noobs, go play with bots",1
hey great save back there!,0
"you're all useless, feeding bastards",1
"well played, let's do that again",0
"you guys are doing great, keep it up!",0
"wtf u r useless, learn to play noob",1
"gg wp everyone, had a fun game",0
"hey, stop feeding and play properly",1
"lol that was epic, nice moves team!",0
"ur such an idiot, uninstall pls",1
"thank you for the support, we can win this",0
"fckin noob team, can't do anything right",1
"haha that was close, well played all!",0
"why are u so bad, just go afk",1
gg wp team!,0
fucking noobs ruining game,1
easy win guys :),0
why u so bad lol,1
"nice plays, keep it up",0
report this idiot pls,1
that was a fun match everyone!,0
go fuck yourself retard,1
"well played, see you next game",0
how is team so stupid omg,1
gg ez noobs,1
"Nice play team, we can win!",0
you fucking suck dude,1
"haha gg, good game",0
retard mid feeder,1
let's go for the win guys,0
report this idiot pls,1
well played everyone,0
go fuck yourself,1
"keep it up, we got this!",0
you guys need to stop feeding pls,0
"gg wp, well played team!",0
"fucking idiot mid, uninstall",1
why r u so bad at this game lol,1
report this faggot pls,1
"easy win, nice job everyone",0
stop blaming me for ur bullshit,1
haha gg go next,0
your support is trash dude,1
"good job holding the lane, ty",0
gg ez,1
you guys are trash lol,1
"nice play team, let's keep it up",0
wtf stop feeding idiot,1
"we got this, just stay focused",0
"just uninstall, you're so bad",1
"gg wp everyone, fun game",0
fucking useless teammates,1
thanks for the help guys!,0
you're all fucking terrible,1
I'm done with you idiots,1
"gg wp team, that was fun!",0
stop feeding retard,1
nice play! let's do it again,0
you are all trash,1
"haha good job guys, easy win!",0
report this faggot,1
"great teamwork, let's queue again",0
"why so stupid, use your brain",1
"thanks for the game, well played",0
gg ez noobs lol,1
nice play team! keep it up,0
report this fucker pls,1
why u so bad at this game?,1
awesome move! let's push mid,0
you idiots lost the game,1
"great game, well played everyone",0
"u r trash, uninstall pls",1
"haha that was fun, gg",0
stop feeding u retard,1
gg we got this!,0
yo stop feeding u retard,1
lol this game is so fun,0
can u report this idiot pls,1
"that was easy win, gg",0
why do i play with these trash,1
"nice save, ty team!",0
fucking hate these russian noobs,1
"haha gg wp, lets go next",0
your team is full of noobs,1
gg ez game lol,0
your fucking trash team,1
nice play mid gg,0
wtf is this retard doing,1
haha i love this team,0
report this idiot pls,1
you guys rock!,0
"ez win, gg noobs",1
well played everyone,0
you fucking suck,1
"gg wp, let's do dis again!",0
you fucking suck at this game,1
haha nice try see u next time,0
report dis toxic player plz,1
fucking shit easy win,1
lol that was fun guys,0
go kill urself idiot,1
"good game, great teamwork!",0
wtf dude ur so bad,1
yay we did it! gg all,0
gg ez noobs,1
"wp team, good job!",0
you guys are fucking trash,1
haha nice play mid,0
report this faggot please,1
lol that was intense,0
"stop feeding, idiots",1
"well played, let's push",0
fucking useless team,1
thanks for the support guys,0
"gg, ez game folks",0
you guys are fucking trash,1
"haha, good luck next time!",0
"yo, where's my team?!",1
"nice job, keep it up!",0
you all are such idiots,1
"well played, see you in the next match",0
report that retard asap,1
"lol, you all suck so bad",1
why so toxic? it's just a game :),0
"gg wp team, let's play again!",0
report this idiot pls,1
lol u guys play well,0
fucking noob ruin my game,1
nice moves mid lane,0
"go fuck urself, trash!",1
"hahaha ez game, well done!",0
you idiots lost us the match,1
can u ward pls? thx,0
what a bunch of retards,1
gg ez game noob team lol,1
why is everyone so toxic lol,0
you guys are fucking trash,1
"nice play mid, keep it up!",0
"report this idiot, feeding again",1
can we play as a team pls?,0
stop being a retard and play,1
"haha nice kill, gg wp team",0
fuck this russian feeder omg,1
"good job everyone, well played",0
"fucking noob team, why play?",1
"gg wp team, we did our best!",0
"easy win, y'all suck",1
"lol that game was intense, nice work",0
report this idiot pls,1
you played great support dude!,0
"stop feeding, you trash",1
"haha gg guys, let's play again",0
learn to play or uninstall,1
"thanks for the game, was fun!",0
"you guys are amazing, gg wp",0
"easy game, you all suck",1
lol ur teamfight was trash,1
"fucking gg, had a blast with you all",0
can we do anything about that fucking pudge?,1
"haha nice play mid, well done!",0
report that idiot please,1
why you gotta be so toxic bro?,0
"gg, see ya in the next game",0
"get gud or go home, scrub",1
gg u guys r trash,1
haha ez game,0
quit feeding stupid noob,1
nice play team!,0
report that fking retard,1
lol that was close,0
kys faggot,1
well played everyone,0
ur all useless idiots,1
thanks for the game,0
easy game losers lmao,1
gg wp team great job,0
why u so trash bruh,1
keep it up guys we got this,0
ur the worst player ever omg,1
lol u mad bro?,1
nice teamwork everyone,0
report this idiot pls,1
"that was fun, gg",0
stop feeding idiot,1
gg ez noob team,1
"nice play guys, wp",0
stop feeding you idiot,1
lol that was a fun game,0
report this faggot please,1
"you all did great, gg",0
learn to play retard,1
let's try better next time,0
why u so bad at this,1
haha well played everyone,0
gg ez boys,0
you fucking suck,1
lol nice try team,0
why u so bad?,1
well played everyone,0
fucking retards,1
keep it up guys!,0
go report this idiot,1
hahaha that was fun,0
get lost loser,1
"lol u guys r trash, gg",1
"hey team, nice plays!",0
stop feeding you fucking idiots,1
let's try a different strat nx round,0
report this noob pls,1
"haha good game guys, wp",0
you're all a bunch of retards,1
"great teamwork, keep it up!",0
"fucking useless team, uninstall",1
"that was a fun match, ty all!",0
gg ez wp noobs,1
why u so trash? lol,1
"haha gg wp team, fun game",0
stop feeding ffs,1
"sick plays dude, nice",0
"u idiot, uninstall pls",1
"well played guys, next time!",0
ez game ez life,1
"thanks for the game, good luck",0
can't carry these idiots,1
gg trash team,1
you got owned so bad lol,0
report this fking idiot,1
haha gg well played guys,0
stop feeding you noob,1
"nice plays, let's win this",0
fcking useless team,1
"well done, that was fun :)",0
you're a piece of shit,1
"great game everyone, gg",0
"gg wp guys, well played :)",0
"wtf team, u all are trash",1
"great teamwork, keep it up!",0
why u feeding idiot,1
lol that comeback was insane,0
"ez game, uninstall noob",1
"haha nice try, better luck next time",0
omg stop being so toxic,1
thank u for the support,0
"u guys suck, report all",1
Report this fucking idiot,1
why u so mad? it's just a game,0
haha gg ez noobs,1
"nice play team, let's go next",0
"you guys r trash, uninstall pls",1
"lol that was fun, ggwp",0
stfu and play ur role,1
"great job carry, wp",0
this retard feeding again,1
well played guys! let's win this,0
"gg ez noobs, uninstall pls",1
"Great teamwork, that was fun!",0
"You guys trash, report mid",1
Good game well played everyone,0
"fucking clowns, play another game",1
"Nice save, that turned the game!",0
"why u all so bad, gg",1
"Thanks for the carry, you rock!",0
"Learn to play or quit, idiots",1
"Awesome strat, let's win more",0
gg wp guys,0
you fucking trash,1
lol that was close,0
go back to base noob,1
nice play team!,0
fucking idiot report him,1
haha ez game,0
why you so bad dude?,1
"great support, ty!",0
stop feeding you retard,1
"gg wp team, we did our best!",0
report that fucking feeder lol,1
why are u guys so toxic in this game,0
"ez game, gg get gud",1
haha nice one! well played everybody!,0
you idiots lost us the game,1
"good try team, let's go next",0
"what r u doing, play better ffs",1
"thanks for the match, had fun",0
u guys are such retards omg,1
"gg ez game, well played team!",0
"yo stop feedin, useless morons",1
"haha gj jungler, nice farm",0
wtf learn to play noobs,1
hey can we group up pls?,0
"you're all a bunch of idiots, srsly",1
that was a close one lol,0
report this trash faggot,1
nice comeback team! gg,0
i hate when ppl like u ruin games,1
gg ez noobs,1
nice game guys,0
fucking trash team,1
good luck next match,0
learn to play idiots,1
great teamwork everyone,0
you all suck lol,1
well played dawg,0
stupid fucking feeders,1
see you next game,0
gg easy win boys,0
yo team stop being idiots,1
"well played all, gg",0
you fucking suck bro,1
"nice teamwork guys, that was fun",0
report this faggot plz,1
"you got rekt, lol",0
why u such a bitch?,1
need help at mid pls,0
fucking noob players,1
gg ez noobs,1
"u guys rock, wp",0
wtf u idiot stop feeding,1
let's push mid 4 win,0
ur such a f%&$ing retard,1
"nice play bro, gg",0
"fking noob, uninstall",1
"wp team, we got this",0
report this toxic f*g,1
keep it up team :),0
gg easy noobs,1
lol you guys played well,0
report this idiot asap,1
good game! that was fun,0
haha you suck so much,1
why are you so toxic bro?,0
"fucking hell, learn to play",1
"nice teamwork, keep it up",0
bitch go fuck yourself,1
thanks for the carry guys,0
gg ez game lol,1
you fucking suck man,1
haha nice play dude,0
stop feeding you idiot,1
what a retard report him,1
good teamwork keep it up,0
why you throwing the game?,1
this is so much fun,0
can we focus and win pls?,0
lol you guys are trash,1
gg ez game,0
yo team stop feeding omg,1
haha u guys did great!,0
can u pls play better?,1
nice try all gg,0
you fucking idiot report this guy,1
lol that was intense gg,0
fucking noobs go play something else,1
"hey man, good mid",0
"this is bullshit, they suck",1
gg ez u guys suck lol,1
"yo mid was fire, wp all",0
report this fucking idiot,1
haha that game was epic,0
lol you guys r trash gg,1
thanks for the carry dudes,0
"fucking noob team, uninstall",1
"great game folks, let's queue again",0
u r all fucking clueless,1
"gl hf next time, team!",0
"gg wp, u guys played well!",0
"stop feeding noob, omg!",1
thanks for the carry team <3,0
report this fucking idiot pls,1
hahaha ez game ez life,0
can u guys stop arguing?,0
wtf are you doing mid?!,1
"lol that was epic, gg!",0
you all suck at this game,1
let’s go for another round,0
gg noob learn to play,1
nice save dude gg,0
ez game u suck,1
u guys are fucking idiots,1
gl hf everyone,0
report this trash player,1
haha good fight team,0
what a bunch of retards,1
awesome teamwork guys,0
stop feeding and play,1
gg ez game,0
fucking noobs learn to play,1
haha nice try guys,0
why u feed so hard??,1
great support work team,0
u r such an idiot ffs,1
"we got this, keep up the good work!",0
stop feeding you fucking retard,1
gg wp everyone,0
"worst team ever, uninstall pls",1
gg easy noobs,1
why u so mad lmao,0
dude you're trash,1
go report him pls,0
ez game thanks team,0
how u lose mid lol,1
you fucking idiot,1
nice play guys gg,0
fucking retards,1
well played team :D,0
wtf u doing mid lane?,1
"Great teamwork guys, keep it up!",0
stop feeding u fucking idiot,1
hahaha GG easy game!,0
report this retard pls,1
Nice play! Let's push top!,0
can u stop being a bitch and play?,1
"Don't worry, we'll win this!",0
"fking trash support, uninstall",1
"Thanks for the heal, good save!",0
gg wp guys!,0
"you guys are so trash, gtfo",1
lol that was easy,0
"why u so bad, uninstall pls",1
"haha nice try, let's go again",0
fucking report this idiot,1
"smooth game, thanks team",0
u all suck so bad,1
"good job, we did it!",0
"this team is a joke, ffs",1
gg ez no re,1
"you guys are great, nice game!",0
lol you fucking noob,1
"well played team, let's go again!",0
report that bitch pls,1
"haha that was close, good try all",0
stop feeding like a retard,1
thanks for the fun match everyone!,0
"your so bad, uninstall pls",1
let's win the next one together guys!,0
gg ez noob go home,1
pls report mid feeding,0
lol u suck so hard man,1
gg wp team well played,0
why are you such a retard,1
haha that was a fun match,0
you fucking idiots wtf,1
"great job team, nice win",0
fcking useless piece of trash,1
thanks for the game guys,0
"you guys the best, gg!",0
"fucking idiots, uninstall!",1
"haha nice game, well played",0
"report this trash player, he afk",1
"lol you all did amazing, ez win",0
stop feeding you retard,1
"gg wp guys, let's queue again",0
bunch of noob bitches,1
"easy game, good teamwork",0
"you're trash, no skill!",1
